seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
44,10,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,81,59,0.7284,1.0000,0.0000,677.3051,0.0000,0.1361,4.6593,314.9322,370.6087,1058.0974,0.6720,29.0533,26.5659,830.9788,249.0288,108.2222,18037.0371,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7284,0.2716,4.7120,1125.4863,wave,0.4386,0.8386,1.2356,0.0000,1.0000,0.0000,103.3127,28,937.7769,0.3558,0.7093,4,0,62427.7500,4.3704,0.0000,4.3704,0.7378,0.4971,0.0000,2.9005,34912.1523,25,1.0000,0.0000,0.0000,0.0000,89588.1094,3.5062,5875.9019,0.0000,8766
44,11,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,79,59,0.7468,1.0000,0.0000,582.0339,582.0339,0.2214,4.6535,261.6379,354.4189,861.0269,0.6582,27.5240,24.8454,722.9757,270.2626,78.6582,13109.7051,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7468,0.2532,4.6875,1125.4863,wave,0.4241,0.7780,1.2479,0.0000,1.0000,0.0000,89.4326,28,937.8472,0.3693,0.7050,4,0,50800.5898,4.3165,0.0000,4.3165,0.6473,0.4008,0.0000,2.9616,27721.3477,18,1.5985,0.0000,0.0000,0.0000,57571.8750,3.6709,3266.5320,0.0000,6214
44,12,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,99,80,0.8081,1.0000,0.0000,545.8750,545.8750,0.2694,4.3257,278.3875,283.3696,1128.8318,0.8110,28.4555,26.6666,833.8855,246.1933,85.9495,14324.9160,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8081,0.1919,4.3152,618.6302,ramp_up_down,0.2995,0.5551,1.3009,0.0000,1.0000,0.0000,52.6212,24,550.2031,0.3064,0.3962,4,0,90306.5469,4.3636,0.0000,4.3636,0.7915,0.5146,0.0000,2.2483,24484.7090,23,1.0513,0.0000,0.0000,0.0000,72947.4219,3.4848,6024.9092,0.0000,8509
44,13,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,114,87,0.7632,1.0000,0.0000,513.2414,513.2414,0.1944,4.3235,269.0349,260.6700,1098.4121,0.8166,28.7345,26.8039,822.0781,246.4431,65.4737,10912.2803,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7632,0.2368,4.3453,618.6302,ramp_up_down,0.3660,0.7184,1.3063,0.0000,1.0000,0.0000,49.3525,28,551.1536,0.3028,0.4805,6,0,95561.8516,4.3596,0.0000,4.3596,0.8018,0.5641,0.0000,2.3639,32260.3516,23,1.0192,0.0000,0.0000,0.0000,54738.6484,3.4474,4993.9561,0.0000,7464
44,14,Tokyo_Small,eval_stress_shock,MAPPO,3600,5,159,127,0.7987,1.0000,0.0000,546.6929,273.3465,0.4042,4.1700,285.0709,286.0563,1075.9978,0.7549,29.2357,23.8651,845.3345,63.6928,49.3774,8229.5596,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7987,0.2013,4.1207,513.2000,shock_burst,0.3306,0.5910,1.2170,0.0000,1.0000,0.0000,69.8713,24,439.1803,0.4850,0.4771,5,0,136651.7188,4.1572,0.0000,4.1572,0.7776,0.4968,0.0000,2.6465,39567.1211,32,1.0654,0.0000,0.0000,0.0000,41868.3086,3.4906,3383.6001,0.0000,7851
44,15,Tokyo_Small,eval_stress_shock,MAPPO,3600,5,183,155,0.8470,1.0000,0.0000,506.2710,506.2710,0.3408,4.1530,243.9097,266.2294,967.3650,0.7932,27.9039,25.2283,778.5887,41.4835,60.7158,10119.3076,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8470,0.1530,4.1611,513.2000,shock_burst,0.2620,0.4834,1.2249,0.0000,1.0000,0.0000,50.4367,24,440.9633,0.4898,0.3326,6,0,149941.5781,4.3388,0.0000,4.3388,0.7832,0.4448,0.0000,2.1877,41158.0000,17,3.1256,0.0000,0.0000,0.0000,53150.9609,3.4645,5756.4219,0.0000,11111
44,16,Tokyo_Small,eval_stress_buildup,MAPPO,3600,4,224,166,0.7411,1.0000,0.0000,571.7831,285.8916,0.5478,4.4626,255.7073,339.9948,981.5387,0.7677,29.0975,26.2781,764.4222,34.1191,94.6830,15780.5059,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7411,0.2589,4.4426,883.7547,building_up,0.2843,0.5170,1.3037,0.0000,1.0000,0.0000,59.3996,28,766.1647,0.3665,0.5363,7,0,162935.4219,4.2277,0.0000,4.2277,0.6680,0.4316,0.0000,2.3621,66567.8672,43,1.0447,0.0000,0.0000,0.0000,85011.1094,3.3214,11628.8457,0.0000,21209
44,17,Tokyo_Small,eval_stress_buildup,MAPPO,3600,4,222,175,0.7883,1.0000,0.0000,641.2571,320.6286,0.6660,4.4539,329.4310,345.6769,961.0370,0.5835,28.8960,25.2226,751.9205,24.8067,87.3919,14565.3154,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7883,0.2117,4.3986,883.7547,building_up,0.2472,0.4685,1.2065,0.0000,1.0000,0.0000,137.2236,28,768.1428,0.3650,0.5637,8,0,168181.4844,4.3153,0.0000,4.3153,0.7462,0.4532,0.0000,2.4787,75722.5312,53,1.1609,0.0000,0.0000,0.0000,76489.3516,3.8153,7820.5718,0.0000,19401
44,18,Tokyo_Small,eval_over_fleet,MAPPO,3600,60,44,30,0.6818,1.0000,0.0000,545.6000,68.2000,0.1497,4.6702,272.1667,279.3513,1011.7087,0.7434,26.8000,23.2812,914.8398,345.0008,220.7727,36795.4531,0,0,0.0000,0.0000,0.0000,0.0000,0,0.6818,0.3182,4.7454,1125.4863,wave,0.4889,0.9129,1.1947,0.0000,1.0000,0.0000,69.8249,28,934.7078,0.3546,0.7446,3,0,30351.2617,4.5455,0.0000,4.5455,0.5037,0.4257,0.0000,3.7231,27763.0938,14,2.1499,0.0000,0.0000,0.0000,172362.3438,3.3409,6955.9268,0.0000,9714
44,19,Tokyo_Small,eval_over_fleet,MAPPO,3600,60,56,41,0.7321,1.0000,0.0000,688.5122,68.8512,0.1709,4.6636,365.2439,319.3726,1071.1492,0.5865,28.2711,23.8219,791.4982,336.5012,207.1786,34529.7617,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7321,0.2679,4.6754,1125.4863,wave,0.3889,0.7790,1.2157,0.0000,1.0000,0.0000,151.0141,28,935.9222,0.3612,0.6849,4,0,43917.1172,4.2500,0.0000,4.2500,0.7223,0.4456,0.0000,2.6326,20251.9297,17,3.6300,0.0000,0.0000,0.0000,179860.3438,3.5536,9436.6924,0.0000,11602
