seed,city,phase,policy_mode,n_episodes,throughput_mean,throughput_std,accept_rate_mean,accept_rate_std,latency_mean_mean,latency_mean_std,utilisation_mean,utilisation_std,mean_congestion_mean,mean_congestion_std,mean_trip_steps_mean,mean_trip_steps_std,mean_wait_steps_mean,mean_wait_steps_std,mean_road_pd_m_mean,mean_road_pd_m_std,delivery_route_efficiency_mean,delivery_route_efficiency_std,actor_loss_mean,critic_loss_mean,entropy_mean
43,Tokyo_Medium,train,MAPPO,3,0.5846,0.0253,1.0000,0.0000,976.0233,39.6098,0.6742,0.0209,3.0682,0.0192,540.5207,12.1714,558.4947,68.5837,2269.3162,89.9475,0.8394,0.0145,-0.0000,0.0009,0.0000
43,LosAngeles_Small,train,IPPO,3,0.7788,0.0589,1.0000,0.0000,715.9725,32.6489,0.5509,0.1369,3.0917,0.0128,314.7249,37.0413,450.5543,87.2384,1210.3702,140.9507,0.7700,0.0416,-0.0002,0.2554,0.3335
43,LosAngeles_Small,train,MAPPER,3,0.7513,0.0399,1.0000,0.0000,702.4749,18.1346,0.4956,0.0667,3.0924,0.0136,289.6619,34.1152,434.7273,25.1803,1226.2611,131.3672,0.8479,0.0121,-0.0007,0.1031,0.0506
43,LosAngeles_Small,train,MAPPO,3,0.8156,0.0151,1.0000,0.0000,650.0715,41.6110,0.5567,0.0286,3.0887,0.0141,296.3451,24.4765,384.0097,12.4868,1253.8136,114.2547,0.8456,0.0148,-0.0000,0.0159,0.0000
44,Tokyo_Small,train,IPPO,27,0.7818,0.0931,1.0000,0.0000,641.7387,71.4968,0.4466,0.0836,3.0481,0.0446,309.5887,37.8201,358.4055,43.4944,1224.3787,121.9817,0.7944,0.0452,-0.0005,0.3017,0.4997
44,Tokyo_Small,train,MAPPER,27,0.7140,0.0925,1.0000,0.0000,673.3472,90.5237,0.5175,0.0951,3.0468,0.0456,289.8055,31.1548,422.1674,75.7373,1215.6835,117.6340,0.8401,0.0192,-0.0022,0.1280,0.2459
44,Tokyo_Small,train,MAPPO,27,0.7646,0.0997,1.0000,0.0000,636.2025,117.0053,0.5108,0.1105,3.0464,0.0450,291.6710,30.9527,374.8008,107.7856,1227.7384,122.8698,0.8425,0.0156,-0.0010,0.0910,0.0634
44,Tokyo_Medium,train,IPPO,27,0.7407,0.0702,1.0000,0.0000,902.6379,75.0165,0.5096,0.0933,3.0478,0.0435,530.7247,36.8108,433.9111,53.4780,2177.9832,125.8496,0.8219,0.0296,-0.0005,0.3750,0.4855
44,Tokyo_Medium,train,MAPPER,27,0.6932,0.0734,1.0000,0.0000,925.3240,86.1477,0.5156,0.1049,3.0474,0.0438,521.3539,32.5019,471.0860,79.3994,2203.6968,128.6470,0.8458,0.0175,-0.0021,0.1482,0.2821
44,Tokyo_Medium,train,MAPPO,27,0.6751,0.0950,1.0000,0.0000,924.5020,100.4270,0.6107,0.1281,3.0454,0.0434,517.4509,33.1550,487.4264,100.9125,2205.2871,144.5090,0.8524,0.0123,-0.0008,0.0482,0.0563
44,LosAngeles_Small,train,IPPO,27,0.8165,0.0868,1.0000,0.0000,597.7849,65.5130,0.4456,0.0774,3.0661,0.0406,291.5530,20.5645,334.9126,50.5269,1210.1405,72.0442,0.8310,0.0219,-0.0005,0.2380,0.4919
44,LosAngeles_Small,train,MAPPER,27,0.7603,0.0999,1.0000,0.0000,642.0845,79.5846,0.4939,0.0901,3.0654,0.0412,291.7747,22.5238,381.7471,80.4299,1217.1924,69.1885,0.8359,0.0290,-0.0019,0.1017,0.2320
44,LosAngeles_Small,train,MAPPO,27,0.7886,0.0947,1.0000,0.0000,603.7458,85.7531,0.4809,0.1086,3.0649,0.0400,284.1176,17.6871,350.1941,85.9325,1209.3496,70.8583,0.8516,0.0123,-0.0010,0.0221,0.0551
44,LosAngeles_Medium,train,IPPO,27,0.7451,0.0661,1.0000,0.0000,899.7143,92.5276,0.5438,0.1010,3.0712,0.0425,546.8789,42.0255,419.1848,72.0907,2254.6880,153.9126,0.8254,0.0245,-0.0005,0.4244,0.4799
44,LosAngeles_Medium,train,MAPPER,27,0.6746,0.0642,1.0000,0.0000,916.0207,94.4781,0.5290,0.1145,3.0713,0.0431,541.3311,42.2794,449.6119,66.2431,2286.7764,164.3420,0.8455,0.0169,-0.0023,0.1583,0.2744
44,LosAngeles_Medium,train,MAPPO,27,0.7041,0.0886,1.0000,0.0000,902.4702,102.3710,0.5992,0.1265,3.0694,0.0425,534.0110,37.7004,450.9154,105.1422,2271.3533,153.6581,0.8510,0.0133,-0.0010,0.0433,0.0471
44,Paris_Small,train,IPPO,27,0.8706,0.0887,1.0000,0.0000,542.6922,46.3548,0.3901,0.0803,3.0114,0.0372,273.3716,21.6542,283.9364,34.5978,1088.4208,59.4636,0.7983,0.0322,-0.0005,0.1971,0.4904
44,Paris_Small,train,MAPPER,27,0.8203,0.0745,1.0000,0.0000,574.1851,55.3861,0.4728,0.0748,3.0100,0.0368,263.4542,15.9964,333.5251,51.1965,1093.5907,61.5949,0.8305,0.0152,-0.0018,0.0888,0.2309
44,Paris_Small,train,MAPPO,27,0.8788,0.0680,1.0000,0.0000,518.7563,70.5510,0.4291,0.1068,3.0104,0.0362,260.4659,15.0310,273.1139,68.5103,1090.6719,60.9133,0.8376,0.0077,-0.0008,0.0145,0.0469
44,Paris_Medium,train,IPPO,27,0.8255,0.0588,1.0000,0.0000,825.9893,83.5501,0.4937,0.1038,3.0138,0.0411,509.6585,40.2349,358.1039,63.4019,2066.0442,137.0102,0.8120,0.0271,-0.0005,0.2862,0.4777
44,Paris_Medium,train,MAPPER,27,0.7550,0.0753,1.0000,0.0000,842.7370,73.2897,0.5028,0.1019,3.0132,0.0419,500.5552,32.1882,393.0587,62.0298,2098.4417,135.1615,0.8385,0.0118,-0.0021,0.1155,0.2640
44,Paris_Medium,train,MAPPO,27,0.7889,0.1004,1.0000,0.0000,816.9719,87.0586,0.5683,0.1156,3.0116,0.0417,493.4500,32.7677,378.4225,93.8175,2084.5681,140.5959,0.8448,0.0054,-0.0007,0.0177,0.0401
