seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
42,3,LosAngeles_Medium,train,MAPPER,3600,14,168,125,0.7440,1.0000,0.0000,1035.6639,115.0738,0.6490,3.0880,588.7040,487.9577,2450.1167,0.8324,45.8691,44.1290,1908.1929,245.9095,790.3631,39518.1562,0,0,-0.0033,0.3510,0.6902,0.1233,649,0.7440,0.2560,3.0859,3353.0793,uniform,0.2142,0.4023,1.6625,0.0000,1.0000,0.0000,98.6806,14,2604.8027,0.0379,1.0627,4,0,306264.5625,3.8631,0.0000,3.8631,0.8048,2.1634,0.0000,1.5402,22554.0352,156,2.4391,0.0000,0.0000,0.0000,688084.5000,21.6310,95226.4141,121.2622,132781
42,3,LosAngeles_Medium,train,MAPPO,3600,14,168,127,0.7560,1.0000,0.0000,987.1417,109.6824,0.6726,3.0861,574.0000,475.8680,2477.4556,0.8632,45.8691,44.1290,1908.1929,245.9095,617.1786,30858.9277,0,0,-0.0047,0.8050,0.6802,0.2307,651,0.7560,0.2440,3.0846,3353.0793,uniform,0.2083,0.3961,1.6625,0.0000,1.0000,0.0000,78.5089,14,2604.9612,0.0375,1.0751,4,0,314636.8750,3.8750,0.0000,3.8750,0.7827,2.0707,0.0000,1.4805,22627.6816,166,2.0045,0.0000,0.0000,0.0000,505147.2812,26.4643,54861.2227,178.5941,103686
42,4,Paris_Small,train,IPPO,3600,7,87,73,0.8391,1.0000,0.0000,734.2328,244.7443,0.4621,3.0437,327.5342,476.9481,1247.7274,0.7619,23.4540,21.8217,986.8375,216.3934,578.1494,57814.9414,0,0,-0.0003,0.3503,0.6931,0.2480,314,0.8391,0.1609,3.0446,1677.4449,uniform,0.2808,0.5481,1.6266,0.0000,1.0000,0.0000,77.9888,12,1325.5688,0.0400,0.9315,7,1,91084.1094,3.6092,0.0000,3.6092,0.8616,0.9906,0.0000,1.1693,3037.7920,30,1.5309,0.0000,0.0000,0.0000,506884.6875,15.6092,31145.6504,148.8899,50299
42,4,Paris_Small,train,MAPPER,3600,7,87,77,0.8851,1.0000,0.0000,622.2857,311.1429,0.3848,3.0419,297.5195,355.9879,1205.7952,0.8106,23.4540,21.8217,986.8375,216.3934,468.8736,46887.3555,0,0,-0.0020,0.2965,0.6862,0.0864,300,0.8851,0.1149,3.0432,1677.4449,uniform,0.2377,0.4348,1.6266,0.0000,1.0000,0.0000,56.3604,12,1325.5533,0.0397,1.0240,5,1,92846.2266,3.4483,0.0000,3.4483,0.9008,0.9819,0.0000,1.2611,4198.4102,48,1.2731,0.0000,0.0000,0.0000,390841.6562,10.5172,20922.0234,150.3599,40792
42,4,Paris_Small,train,MAPPO,3600,7,87,83,0.9540,1.0000,0.0000,550.8073,183.6024,0.4568,3.0419,280.8193,276.9059,1181.8645,0.8417,23.4540,21.8217,986.8375,216.3934,428.6552,42865.5156,0,0,-0.0042,0.2176,0.6630,0.1069,311,0.9540,0.0460,3.0432,1677.4449,uniform,0.2028,0.3812,1.6266,0.0000,1.0000,0.0000,44.4464,12,1325.5891,0.0402,1.0385,5,1,98094.7500,3.5747,0.0000,3.5747,0.9114,0.9215,0.0000,1.2002,3993.2964,39,1.6042,0.0000,0.0000,0.0000,352154.8125,7.7586,15808.5732,170.4484,37293
42,5,Paris_Medium,train,IPPO,3600,14,167,104,0.6228,1.0000,0.0000,1088.7693,136.0962,0.6193,3.0384,601.2596,570.7778,2175.7244,0.7237,46.6773,44.6087,1876.8307,270.7321,1848.9221,92446.1016,0,0,-0.0001,0.8327,0.6930,0.3859,608,0.6228,0.3772,3.0347,3353.0723,uniform,0.2840,0.5795,1.6247,0.0000,1.0000,0.0000,166.1148,14,2646.6162,0.0264,0.9537,8,1,226275.3438,3.6407,0.0000,3.6407,0.6254,2.0078,0.0000,1.2222,7091.8130,70,1.2463,0.0000,0.0000,0.0000,1746615.7500,25.7844,251159.2812,242.6698,308770
42,5,Paris_Medium,train,MAPPER,3600,14,167,122,0.7305,1.0000,0.0000,1019.4099,145.6300,0.5087,3.0322,543.8033,505.3233,2220.2310,0.8166,46.6773,44.6087,1876.8307,270.7321,1805.9581,90297.9062,0,0,-0.0017,0.3455,0.6877,0.1224,698,0.7305,0.2695,3.0274,3353.0723,uniform,0.2202,0.4111,1.6247,0.0000,1.0000,0.0000,99.7571,14,2646.6111,0.0265,0.9119,4,1,270868.1875,4.1796,0.0000,4.1796,0.7281,1.9929,0.0000,1.2308,9251.2676,100,1.4362,0.0000,0.0000,0.0000,1684495.5000,16.9341,228288.7656,317.4987,301595
42,5,Paris_Medium,train,MAPPO,3600,14,167,140,0.8383,1.0000,0.0000,950.8571,95.0857,0.7181,3.0277,533.0857,480.3522,2206.2439,0.8277,46.6773,44.6087,1876.8307,270.7321,1407.5389,70376.9453,0,0,-0.0069,0.2573,0.6234,0.1136,656,0.8383,0.1617,3.0248,3353.0723,uniform,0.1790,0.3381,1.6247,0.0000,1.0000,0.0000,91.8369,14,2646.6067,0.0244,0.9314,4,1,308874.1562,3.9281,0.0000,3.9281,0.8341,1.9893,0.0000,1.2104,12611.6572,93,1.8649,0.0000,0.0000,0.0000,1222987.8750,21.5689,127055.2578,462.1802,235059
42,6,Tokyo_Small,train,IPPO,3600,10,85,71,0.8353,1.0000,0.0000,658.2112,219.4037,0.3878,3.0775,289.3662,400.3117,1119.1295,0.7735,29.1865,25.9924,784.4854,260.9364,632.0000,63200.0000,0,0,-0.0002,0.1411,0.6930,0.1611,316,0.8353,0.1647,3.0750,1676.2023,uniform,0.3341,0.5932,1.6528,0.0000,1.0000,0.0000,65.5403,14,1312.8905,0.0326,1.0580,5,0,79458.1953,3.7176,0.0000,3.7176,0.9127,0.9096,0.0000,1.3796,7620.1221,42,1.1670,0.0000,0.0000,0.0000,490972.0938,17.1059,34186.8359,88.7757,53720
42,6,Tokyo_Small,train,MAPPER,3600,10,85,73,0.8588,1.0000,0.0000,640.1507,160.0377,0.4923,3.0758,257.9041,385.0124,1072.9824,0.8321,29.1865,25.9924,784.4854,260.9364,431.9412,43194.1172,0,0,-0.0041,0.2619,0.6804,0.0849,277,0.8588,0.1412,3.0741,1676.2023,uniform,0.2921,0.5261,1.6528,0.0000,1.0000,0.0000,43.3076,14,1312.8833,0.0320,1.1629,5,0,78327.7188,3.2588,0.0000,3.2588,0.8982,0.8706,0.0000,1.3222,6575.8794,60,1.2911,0.0000,0.0000,0.0000,357128.0000,8.4941,21432.5527,104.9820,36715
