source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
RL,FaithfulMAPPER,NewYork_Small,over_fleet,1,6,3600,57,50,0.8772,1.0000,460.4200,92.0840,0.9231,4.6568,275.8800,179.6250,1204.1041,0.8729,35.0592,28,0.3720,7.9436,54,0.8733,60205.2070,0.2621,0.6312,1191.7008,4.6475,14308,251.0175,41836.2578,0,0
RL,IPPO,NewYork_Small,normal_wave,0,6,3600,107,100,0.9346,1.0000,528.1900,528.1900,0.3304,4.6501,311.2041,224.3107,1331.0422,0.8554,44.9956,24,0.3682,6.4542,108,0.7869,133104.2188,0.2865,0.5499,1191.7008,4.7074,6792,63.4766,10579.4395,0,0
RL,IPPO,NewYork_Small,normal_wave,1,6,3600,113,104,0.9204,1.0000,441.7788,0.0000,0.1614,4.6473,235.7647,207.5714,991.2906,0.8409,37.5066,28,0.3695,5.9021,104,0.8877,103094.2266,0.2918,0.5455,1191.7008,4.6949,6471,57.2655,9544.2480,0,0
RL,IPPO,NewYork_Small,normal_ramp,0,6,3600,110,95,0.8636,1.0000,528.6842,0.0000,0.0953,4.3231,293.0000,254.4848,1257.7986,0.8586,41.4403,24,0.3122,3.9656,65,0.7200,119490.8594,0.2395,0.4395,655.0147,4.3205,7254,65.9455,10990.9092,0,0
RL,IPPO,NewYork_Small,normal_ramp,1,6,3600,106,93,0.8774,1.0000,490.6344,490.6344,0.3046,4.3316,288.7143,225.8421,1243.0623,0.8611,40.1018,28,0.3020,4.4457,53,0.7352,115604.7891,0.2869,0.5626,655.0147,4.3374,11441,107.9340,17988.9941,0,0
RL,IPPO,NewYork_Small,stress_shock,0,6,3600,158,146,0.9241,1.0000,470.4589,470.4589,0.1685,4.1816,242.5315,232.0724,1056.5247,0.8712,31.2265,24,0.4736,4.2479,76,0.7980,154252.6094,0.2887,0.5201,543.2000,4.1729,9410,59.5570,9926.1602,0,0
RL,IPPO,NewYork_Small,stress_shock,1,6,3600,134,127,0.9478,1.0000,404.7953,0.0000,0.0704,4.1960,205.8661,209.1461,891.2579,0.8659,27.6145,28,0.4690,4.4806,61,0.8591,113189.7578,0.3333,0.6344,543.2000,4.2166,4967,37.0672,6177.8608,0,0
RL,IPPO,NewYork_Small,stress_buildup,0,6,3600,212,189,0.8915,1.0000,530.4656,530.4656,0.3169,4.4544,247.9947,279.5850,1091.5177,0.8803,29.6911,24,0.3857,4.0244,139,0.7580,206296.8594,0.2893,0.5419,935.7400,4.3850,13098,61.7830,10297.1699,0,0
RL,IPPO,NewYork_Small,stress_buildup,1,6,3600,204,182,0.8922,1.0000,428.8297,428.8297,0.2668,4.4637,209.8517,219.4051,944.3032,0.9000,20.9910,28,0.3703,5.1611,125,0.8825,171863.1875,0.3093,0.5615,935.7400,4.4383,12008,58.8627,9810.4570,0,0
RL,IPPO,NewYork_Small,over_fleet,0,6,3600,41,38,0.9268,1.0000,465.2105,116.3026,0.7890,4.6680,255.3684,222.4359,1111.4623,0.8705,33.0760,28,0.3540,5.9771,45,0.8297,42235.5664,0.2411,0.5367,1191.7008,4.7210,4980,121.4634,20243.9023,0,0
RL,IPPO,NewYork_Small,over_fleet,1,6,3600,57,51,0.8947,1.0000,457.0000,91.4000,0.9725,4.6579,270.0000,183.1404,1171.3173,0.8676,35.7365,28,0.3676,6.0267,51,0.8708,59737.1836,0.2896,0.6281,1191.7008,4.6453,4072,71.4386,11906.4326,0,0
RL,Hybrid,NewYork_Small,normal_wave,0,6,3600,107,98,0.9159,1.0000,488.1633,488.1633,0.2354,4.6509,288.8557,233.9238,1238.3828,0.8574,41.1791,24,0.3675,6.0585,99,0.7648,121361.5156,0.3104,0.5919,1191.7008,4.7078,6702,62.6355,10439.2520,0,0
