source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
RL,MAPPO,Tokyo_Small,normal_wave,0,6,3600,81,45,0.5556,1.0000,826.1111,413.0555,0.3480,4.6588,277.8000,583.0526,1145.6381,0.8248,48.6724,28,0.3600,8.5908,44,0.8220,51553.7109,0.4339,0.7845,1125.4863,4.7158,49487,610.9506,101825.1016,0,0
RL,MAPPO,Tokyo_Small,normal_wave,1,6,3600,79,64,0.8101,1.0000,634.0625,211.3542,0.6131,4.6539,238.6379,444.4000,1043.2441,0.8743,29.9891,28,0.3690,4.7488,39,0.8381,66767.6250,0.3406,0.6047,1125.4863,4.6868,27414,347.0127,57835.4414,0,0
RL,MAPPO,Tokyo_Small,normal_ramp,0,6,3600,99,68,0.6869,1.0000,699.9412,349.9706,0.4425,4.3282,222.6393,480.1035,1054.3131,0.9471,11.7767,24,0.3061,2.6406,31,0.8810,71693.2891,0.2975,0.5320,618.6302,4.3160,45599,460.5959,76765.9922,0,0
RL,MAPPO,Tokyo_Small,normal_ramp,1,6,3600,114,81,0.7105,1.0000,660.1235,660.1235,0.2650,4.3266,225.5000,451.3889,1020.0157,0.9047,21.4969,28,0.3002,3.3245,34,0.8862,82621.2734,0.3111,0.5571,618.6302,4.3501,33504,293.8947,48982.4570,0,0
RL,MAPPO,Tokyo_Small,stress_shock,0,6,3600,159,131,0.8239,1.0000,721.4199,360.7099,0.4456,4.1767,270.3964,477.5340,1047.3298,0.7747,60.9304,24,0.4767,3.3141,49,0.8704,137200.2031,0.3866,0.7057,513.2000,4.1270,38845,244.3082,40718.0312,0,0
RL,MAPPO,Tokyo_Small,stress_shock,1,6,3600,183,137,0.7486,1.0000,652.1971,326.0985,0.4414,4.1703,232.4758,430.2881,1003.0333,0.8629,31.8691,24,0.4775,2.5633,36,0.7795,137415.5625,0.2763,0.4920,513.2000,4.1805,56505,308.7705,51461.7500,0,2
RL,MAPPO,Tokyo_Small,stress_buildup,0,6,3600,224,168,0.7500,1.0000,617.0179,617.0179,0.3313,4.4663,233.8067,376.9392,1032.5916,0.8833,27.2884,28,0.3590,4.1903,119,0.8537,173475.3750,0.3394,0.6146,883.7547,4.4466,46989,209.7723,34962.0547,0,2
RL,MAPPO,Tokyo_Small,stress_buildup,1,6,3600,222,199,0.8964,1.0000,629.0754,629.0754,0.2638,4.4553,229.0278,413.2161,915.3159,0.7993,45.9646,28,0.3577,5.3914,124,0.9235,182147.8750,0.3335,0.5897,883.7547,4.3992,43569,196.2568,32709.4590,0,2
RL,MAPPO,Tokyo_Small,over_fleet,0,6,3600,44,35,0.7955,1.0000,478.3143,119.5786,0.8071,4.6677,262.3429,278.6154,1179.8658,0.8995,26.3697,28,0.3597,7.6565,33,0.8475,41295.3047,0.2230,0.4957,1125.4863,4.7454,39487,897.4318,149571.9688,0,0
RL,MAPPO,Tokyo_Small,over_fleet,1,6,3600,56,52,0.9286,1.0000,489.5385,97.9077,0.9857,4.6629,266.8600,206.2400,1107.5819,0.8301,45.3436,28,0.3633,4.1980,35,0.9057,57594.2578,0.2906,0.6000,1125.4863,4.6746,40015,714.5536,119092.2656,0,0
