seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,rmca_relative_regret,rmca_marginal_cost_k1,rmca_marginal_cost_k2,mean_allocation_time_us,mean_tam_dijkstra_steps,path_compute_time_ms,mean_pure_alloc_time_ms,wallclock_ms
43,10,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,105,76,0.7238,1.0000,0.0000,609.4211,609.4211,0.2962,4.6476,372.4211,289.0309,1084.7415,0.5825,28.9712,26.9119,863.0358,240.1928,74.5333,12422.2227,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7238,0.2762,4.6926,1125.4863,wave,0.3991,0.7554,1.1651,0.0000,1.0000,0.0000,155.4728,28,939.1755,0.3767,0.6728,5,0,82440.3516,4.2381,0.0000,4.2381,0.7048,0.4635,0.0000,2.5475,40397.3750,33,1.4724,0.0000,0.0000,0.0000,57921.6016,3.4857,4095.3320,0.0000,7826
43,11,Tokyo_Small,eval_normal_wave,MAPPO,3600,6,120,90,0.7500,1.0000,0.0000,674.3111,674.3111,0.2303,4.6507,358.5730,368.7048,1088.7043,0.6072,29.5703,27.4291,832.1573,211.3590,148.5500,24758.3340,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7500,0.2500,4.7338,1125.4863,wave,0.3510,0.6325,1.2823,0.0000,1.0000,0.0000,140.8322,28,940.1575,0.3615,0.6621,4,0,97983.3828,4.3250,0.0000,4.3250,0.7391,0.5253,0.0000,2.5573,41115.5352,29,1.8155,0.0000,0.0000,0.0000,130623.5312,3.3833,13298.7754,0.0000,17826
43,12,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,109,83,0.7615,1.0000,0.0000,590.2169,0.0000,0.1437,4.3252,337.1205,278.8182,1203.5219,0.7140,29.3889,27.6252,918.1266,233.3882,75.0183,12503.0576,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7615,0.2385,4.3666,618.6302,ramp_up_down,0.3822,0.7170,1.2747,0.0000,1.0000,0.0000,96.4161,28,550.3053,0.3087,0.4089,4,0,99892.3203,4.3119,0.0000,4.3119,0.7951,0.6064,0.0000,2.3680,41502.9922,22,1.0000,0.0000,0.0000,0.0000,59244.0820,3.6697,4689.9468,0.0000,8177
43,13,Tokyo_Small,eval_normal_ramp,MAPPO,3600,6,92,71,0.7717,1.0000,0.0000,527.7606,527.7606,0.2768,4.3329,304.2394,248.2683,1059.7920,0.6967,27.9160,26.2920,778.4353,220.2843,88.1087,14684.7822,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7717,0.2283,4.3606,618.6302,ramp_up_down,0.3010,0.5685,1.1859,0.0000,1.0000,0.0000,92.2810,24,548.9253,0.3073,0.4862,4,0,75245.2344,4.3913,0.0000,4.3913,0.7444,0.4450,0.0000,2.0489,19818.8184,19,1.0105,0.0000,0.0000,0.0000,72556.6484,3.5217,5364.6152,0.0000,8106
43,14,Tokyo_Small,eval_stress_shock,MAPPO,3600,5,129,94,0.7287,1.0000,0.0000,482.7766,0.0000,0.1881,4.2011,244.9468,263.4865,945.0102,0.7716,26.7263,23.0238,773.1744,79.0503,67.6434,11273.9014,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7287,0.2713,4.2361,513.2000,shock_burst,0.4072,0.7395,1.3420,0.0000,1.0000,0.0000,55.9448,24,437.4614,0.4620,0.5024,5,0,88830.9609,4.4109,0.0000,4.4109,0.6956,0.4950,0.0000,3.6016,39437.8672,24,1.1131,0.0000,0.0000,0.0000,57932.1094,3.3333,4875.5210,0.0000,8726
43,15,Tokyo_Small,eval_stress_shock,MAPPO,3600,5,162,130,0.8025,1.0000,0.0000,503.8385,503.8385,0.2332,4.1747,242.5426,271.2778,978.7291,0.8071,28.6325,26.8232,750.2105,51.4948,87.9630,14660.4941,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8025,0.1975,4.1755,513.2000,shock_burst,0.3128,0.5625,1.2778,0.0000,1.0000,0.0000,46.7968,24,439.3164,0.4769,0.4152,6,0,127234.7734,4.1852,0.0000,4.1852,0.7155,0.4453,0.0000,1.8238,31786.4941,25,1.0000,0.0000,0.0000,0.0000,78819.5312,3.5432,9085.4912,0.0000,14250
43,16,Tokyo_Small,eval_stress_buildup,MAPPO,3600,4,206,162,0.7864,1.0000,0.0000,664.2716,332.1358,0.5227,4.4553,321.7000,354.3073,1097.8650,0.6825,28.9034,26.1683,846.8906,25.8507,96.6505,16108.4141,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7864,0.2136,4.4074,883.7547,building_up,0.2868,0.5119,1.2102,0.0000,1.0000,0.0000,102.1270,36,766.4167,0.3771,0.5369,6,0,177854.1250,4.3932,0.0000,4.3932,0.7256,0.4428,0.0000,2.7333,78223.2031,50,1.0391,0.0000,0.0000,0.0000,87665.4688,3.4854,11719.7998,0.0000,19910
43,17,Tokyo_Small,eval_stress_buildup,MAPPO,3600,4,202,145,0.7178,1.0000,0.0000,601.7517,0.0000,0.2306,4.4616,273.1379,360.6628,983.8558,0.7204,28.4599,27.0769,822.8199,46.0456,59.6485,9941.4189,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7178,0.2822,4.4564,883.7547,building_up,0.3324,0.6237,1.2270,0.0000,1.0000,0.0000,76.3668,24,766.0361,0.3632,0.5701,8,0,142659.0938,4.3465,0.0000,4.3465,0.6651,0.4616,0.0000,2.6177,59162.1875,42,1.0000,0.0000,0.0000,0.0000,49769.9219,3.5446,3649.0769,0.0000,12049
43,18,Tokyo_Small,eval_over_fleet,MAPPO,3600,60,49,36,0.7347,1.0000,0.0000,729.5000,72.9500,0.1814,4.6666,418.0833,326.1111,1271.9858,0.6085,28.2802,24.9168,922.0922,345.9441,307.1837,51197.2773,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7347,0.2653,4.7617,1125.4863,wave,0.4151,0.7817,1.1909,0.0000,1.0000,0.0000,163.6862,28,935.0833,0.3612,0.7982,3,0,45791.4883,4.3061,0.0000,4.3061,0.8357,0.6057,0.0000,5.4744,30426.2676,23,1.3316,0.0000,0.0000,0.0000,267576.2500,3.3673,12478.3652,0.0000,15052
43,19,Tokyo_Small,eval_over_fleet,MAPPO,3600,60,57,42,0.7368,1.0000,0.0000,626.7857,62.6786,0.1679,4.6692,335.2619,292.3333,1040.0735,0.6205,28.6363,25.4574,782.2531,345.1320,267.5789,44596.4922,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7368,0.2632,4.6871,1125.4863,wave,0.3131,0.6371,1.3733,0.0000,1.0000,0.0000,127.2472,24,935.2045,0.3550,0.7287,3,0,43683.0898,4.1930,0.0000,4.1930,0.7474,0.5538,0.0000,3.6218,21827.3770,18,1.7599,0.0000,0.0000,0.0000,242123.7656,3.4737,13118.2021,0.0000,15252
