seed,source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
44,RL,MAPPO,NewYork_Small,normal_ramp,0,6,3600,90,73,0.8111,1.0,491.3014,491.3014,0.2678,4.3326,249.8082,262.0976,1077.6128,0.8628,34.2857,24,0.3037,1.9349,12,0.4485,78665.7344,0.3642,0.6645,655.0147,4.3223,7006,77.8444,12974.0742,0,0
44,RL,MAPPO,NewYork_Small,normal_ramp,1,6,3600,99,80,0.8081,1.0,509.275,509.275,0.1754,4.3379,254.4625,251.8901,1059.7194,0.8329,42.5186,28,0.3029,2.6025,19,0.501,84777.5547,0.3201,0.6461,655.0147,4.3729,10372,104.7677,17461.2793,0,0
44,RL,MAPPO,NewYork_Small,normal_wave,0,6,3600,114,78,0.6842,1.0,763.4231,381.7115,0.4661,4.65,412.8205,374.1717,1134.8781,0.5498,185.8449,28,0.3675,4.1502,52,0.7352,88520.4922,0.4149,0.7688,1191.7008,4.716,13814,121.1754,20195.9062,0,0
44,RL,MAPPO,NewYork_Small,normal_wave,1,6,3600,114,87,0.7632,1.0,645.0575,322.5287,0.3766,4.6454,343.9765,315.9091,988.7488,0.5749,146.2267,28,0.3777,3.4001,41,0.7228,86021.1484,0.3351,0.6149,1191.7008,4.6254,11051,96.9386,16156.4326,0,0
44,RL,MAPPO,NewYork_Small,over_fleet,0,60,3600,43,30,0.6977,1.0,644.9667,80.6208,0.1492,4.6623,330.3333,376.0732,1004.1144,0.6079,129.5105,28,0.3582,4.1847,18,0.7507,30123.4336,0.3706,0.7659,1191.7008,4.7621,13788,320.6512,53441.8594,0,0
44,RL,MAPPO,NewYork_Small,over_fleet,1,60,3600,58,47,0.8103,1.0,615.9149,61.5915,0.1803,4.6585,355.9787,350.5555,953.2542,0.5356,165.3279,28,0.3608,3.2777,21,0.7947,44802.9453,0.3176,0.6229,1191.7008,4.6264,31018,534.7931,89132.1875,0,0
44,RL,MAPPO,NewYork_Small,stress_buildup,0,4,3600,240,164,0.6833,1.0,637.5305,318.7653,0.6428,4.4605,326.0184,338.8033,1092.4639,0.6702,107.5256,28,0.3655,2.8442,64,0.599,179164.0781,0.2742,0.4948,935.74,4.457,38731,161.3792,26896.5273,0,0
44,RL,MAPPO,NewYork_Small,stress_buildup,1,4,3600,252,186,0.7381,1.0,616.3279,308.164,0.5331,4.454,282.8206,336.1463,1084.3785,0.7668,65.9449,24,0.3811,2.8101,75,0.6343,201694.4062,0.2315,0.4235,935.74,4.4422,22882,90.8016,15133.5977,0,0
44,RL,MAPPO,NewYork_Small,stress_shock,0,5,3600,161,134,0.8323,1.0,511.2836,511.2836,0.3935,4.1755,271.709,256.5772,1065.0482,0.784,58.6993,24,0.478,2.0131,26,0.4419,142716.4688,0.2985,0.5577,543.2,4.1704,16223,100.764,16793.9961,0,0
44,RL,MAPPO,NewYork_Small,stress_shock,1,5,3600,147,112,0.7619,1.0,481.6875,481.6875,0.3262,4.198,261.7838,267.6642,1066.3118,0.8147,48.5214,20,0.4584,1.8122,20,0.4462,119426.9219,0.3022,0.5492,543.2,4.1927,13888,94.4762,15746.0322,0,0
44,RL,MAPPO,Paris_Small,normal_ramp,0,6,3600,103,80,0.7767,1.0,501.425,501.425,0.241,4.3448,260.725,266.5252,977.111,0.7495,65.3028,28,0.2968,2.0545,20,0.5198,78168.875,0.3255,0.6057,995.9542,4.3587,13337,129.4854,21580.9062,0,0
44,RL,MAPPO,Paris_Small,normal_ramp,1,6,3600,115,90,0.7826,1.0,445.5889,0.0,0.0697,4.3341,227.4205,243.7327,847.7878,0.7456,57.8629,24,0.3013,2.4717,20,0.4151,76300.8984,0.3264,0.6104,995.9542,4.3433,12164,105.7739,17628.9863,0,0
