seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,actor_loss,critic_loss,entropy,adv_std,n_experiences,wallclock_ms
43,35,Tokyo_Large,train,MAPPO,3600,15,118,11,0.0932,0.6017,0.3983,1772.8182,221.6023,0.5597,-0.0000,66.0782,0.6073,5.3726,93,315670
43,36,Tokyo_Small,train,MAPPO,3600,8,134,34,0.2537,0.4328,0.5672,1080.3235,216.0647,0.6897,-0.0000,3.0811,0.5864,1.6198,85,17257
43,37,Tokyo_Medium,train,MAPPO,3600,12,119,14,0.1176,0.4202,0.5798,1792.6428,256.0918,0.6462,-0.0000,17.2072,0.6004,3.0312,68,165567
43,38,Tokyo_Large,train,MAPPO,3600,15,115,12,0.1043,0.6261,0.3739,1819.9166,202.2130,0.6583,-0.0001,48.3512,0.6106,4.6639,105,394436
43,39,Tokyo_Small,train,MAPPO,3600,8,151,32,0.2119,0.3709,0.6291,935.8750,187.1750,0.6498,-0.0000,1.7556,0.5864,1.2787,84,28474
43,40,Tokyo_Medium,train,MAPPO,3600,12,117,19,0.1624,0.4701,0.5299,1522.0526,217.4361,0.6609,-0.0000,6.3226,0.5981,1.9539,65,185834
43,41,Tokyo_Large,train,MAPPO,3600,15,94,10,0.1064,0.7340,0.2660,1826.9000,228.3625,0.5786,-0.0000,54.0463,0.6111,4.9050,93,313441
43,42,Tokyo_Small,train,MAPPO,3600,8,146,26,0.1781,0.3425,0.6575,1450.8462,290.1693,0.6899,-0.0000,1.3331,0.5859,1.0184,70,22284
43,43,Tokyo_Medium,train,MAPPO,3600,12,124,20,0.1613,0.4435,0.5565,1150.1500,164.3071,0.6193,-0.0000,12.1364,0.5976,2.6172,74,263727
43,44,Tokyo_Large,train,MAPPO,3600,15,101,10,0.0990,0.6931,0.3069,1641.7000,205.2125,0.5981,-0.0000,50.7156,0.6082,4.9957,105,248835
43,45,Tokyo_Small,train,MAPPO,3600,8,150,27,0.1800,0.3333,0.6667,1516.4445,303.2889,0.6951,-0.0000,1.0500,0.5880,1.0037,69,26515
43,46,Tokyo_Medium,train,MAPPO,3600,12,111,19,0.1712,0.4955,0.5045,1460.3684,208.6241,0.5969,-0.0000,11.7956,0.5988,2.3416,89,212906
43,47,Tokyo_Large,train,MAPPO,3600,15,107,11,0.1028,0.6636,0.3364,2009.6364,223.2929,0.6127,-0.0000,71.2515,0.6110,5.9405,100,404886
43,48,Tokyo_Small,train,MAPPO,3600,8,145,32,0.2207,0.3724,0.6276,1373.3750,274.6750,0.6943,-0.0000,1.4327,0.5882,1.1919,74,24838
43,49,Tokyo_Medium,train,MAPPO,3600,12,110,13,0.1182,0.4455,0.5545,1637.5385,233.9341,0.6475,-0.0000,18.1077,0.5989,3.0359,71,112576
43,50,Tokyo_Large,train,MAPPO,3600,15,123,14,0.1138,0.6016,0.3984,1106.5000,138.3125,0.5683,-0.0000,38.3664,0.6082,4.1372,105,485649
43,51,Tokyo_Small,train,MAPPO,3600,8,141,29,0.2057,0.3759,0.6241,1213.6552,242.7310,0.6381,-0.0000,3.3634,0.5890,1.7057,66,39780
