seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,wallclock_ms
42,10,Tokyo_Small,eval,TamAlwaysAccept,3600,8,130,50,0.3846,1.0000,0.0000,861.1800,172.2360,0.7047,1.0002,242.8478,629.3674,1041.4266,0.8577,29.6079,26.1481,839.9340,219.7594,201.5615,25195.1914,0,0,0.0000,0.0000,0.0000,0.0000,0,0.3846,0.6154,1.0000,2.0000,flat,0.2708,0.4787,1.2384,0.0000,1.0000,0.0000,34.5625,2,0.0014,0.0053,0.2899,7,1,52071.3320,26203
42,11,Tokyo_Small,eval,TamAlwaysAccept,3600,8,135,61,0.4519,1.0000,0.0000,1208.6066,241.7213,0.6441,1.0003,346.0555,792.8200,1186.0817,0.6855,29.3572,26.9962,783.9375,191.9491,224.6815,28085.1855,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4519,0.5481,1.0000,2.0000,flat,0.1605,0.2940,1.2550,0.0000,1.0000,0.0000,108.8392,2,0.0022,0.0068,0.3318,7,2,72350.9766,30332
42,12,Tokyo_Small,eval,TamAlwaysAccept,3600,8,129,55,0.4264,1.0000,0.0000,964.5273,192.9055,0.6448,1.0009,224.3265,736.9200,1011.3521,0.9017,29.2780,27.4186,813.4323,200.2791,254.8217,31852.7129,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4264,0.5736,1.0000,2.0000,flat,0.2115,0.4034,1.2287,0.0000,1.0000,0.0000,22.0561,2,0.0025,0.0208,0.3126,8,1,55624.3633,32872
42,13,Tokyo_Small,eval,TamAlwaysAccept,3600,8,117,55,0.4701,1.0000,0.0000,855.0364,213.7591,0.6225,1.0001,285.4468,682.3750,1392.5659,0.9757,29.5886,26.6193,896.0030,227.6813,217.8376,27229.7012,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4701,0.5299,1.0000,2.0000,flat,0.1520,0.2738,1.2122,0.0000,1.0000,0.0000,6.9336,2,0.0006,0.0027,0.3417,6,2,76591.1250,25487
42,14,Tokyo_Small,eval,TamAlwaysAccept,3600,8,132,61,0.4621,1.0000,0.0000,1070.6394,214.1279,0.7178,1.0002,278.0185,824.1429,1147.6277,0.8256,29.5305,26.4191,892.4816,214.0693,185.7424,23217.8027,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4621,0.5379,1.0007,2.0000,flat,0.2006,0.3685,1.2908,0.0000,1.0000,0.0000,48.4930,2,0.0022,0.0051,0.3263,8,2,70005.2891,24518
42,15,Tokyo_Small,eval,CongestionAware,3600,8,130,59,0.4538,1.0000,0.0000,690.5255,138.1051,0.6270,1.0002,226.4898,439.2325,1051.5095,0.9285,29.6079,26.1481,839.9340,219.7594,181.6769,22709.6152,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4538,0.5462,1.0009,2.0000,flat,0.3240,0.5740,1.2384,0.0000,1.0000,0.0000,16.1879,2,0.0017,0.0058,0.5169,12,1,62039.0664,23618
42,16,Tokyo_Small,eval,CongestionAware,3600,8,135,59,0.4370,1.0000,0.0000,920.6440,184.1288,0.6835,1.0002,220.2245,631.0732,1035.8075,0.9407,29.3572,26.9962,783.9375,191.9491,185.9778,23247.2227,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4370,0.5630,1.0000,2.0000,flat,0.4219,0.7500,1.2550,0.0000,1.0000,0.0000,13.0630,2,0.0014,0.0046,0.4251,14,0,61112.6445,25107
42,17,Tokyo_Small,eval,CongestionAware,3600,8,129,61,0.4729,1.0000,0.0000,618.8361,123.7672,0.6911,1.0004,185.7500,423.6383,850.3568,0.9156,29.2780,27.4186,813.4323,200.2791,148.6977,18587.2090,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4729,0.5271,1.0000,2.0000,flat,0.1995,0.3659,1.2287,0.0000,1.0000,0.0000,15.6786,2,0.0022,0.0085,0.3872,11,2,51871.7617,19182
42,18,Tokyo_Small,eval,CongestionAware,3600,8,117,55,0.4701,1.0000,0.0000,769.5818,153.9164,0.6421,1.0002,211.0833,573.4091,1312.2572,1.0000,29.5886,26.6193,896.0030,227.6813,171.9829,21497.8633,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4701,0.5299,1.0000,2.0000,flat,0.3271,0.5923,1.2122,0.0000,1.0000,0.0000,0.0000,2,0.0008,0.0068,0.4816,10,0,72174.1484,20122
42,19,Tokyo_Small,eval,CongestionAware,3600,8,132,61,0.4621,1.0000,0.0000,765.2787,153.0557,0.6942,1.0003,203.4423,617.5532,1045.1792,1.0000,29.5305,26.4191,892.4816,214.0693,143.5909,17948.8633,0,0,0.0000,0.0000,0.0000,0.0000,0,0.4621,0.5379,1.0015,2.0000,flat,0.2695,0.4728,1.2908,0.0000,1.0000,0.0000,0.0000,2,0.0031,0.0065,0.4776,13,2,63755.9336,18954
