seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,wallclock_ms
43,0,Tokyo_Small,train,FaithfulMAPPER,3600,8,124,45,0.3629,0.9032,0.0968,853.6667,426.8333,0.3375,0.9803,241.6053,631.8666,1201.2506,0.9944,29.6196,27.1764,954.1466,231.0338,254.0242,31753.0234,0,0,-0.0027,16.2640,0.6931,0.4295,239,0.4018,0.5982,0.9758,6.5039,ramp_up_down,0.3243,0.6531,1.3178,1.4235,0.9174,0.3333,1.3551,31499
43,1,Tokyo_Small,train,MAPPO,3600,8,127,44,0.3465,0.9213,0.0787,723.4091,723.4091,0.1955,0.9688,221.3902,509.9211,1227.9097,1.0000,28.8942,27.0323,848.3515,222.7849,198.7717,24846.4570,0,0,-0.0046,12.3706,0.6931,2.5126,237,0.3761,0.6239,0.9858,6.5039,ramp_up_down,0.3778,0.6801,1.2994,1.2588,0.9280,0.5000,0.0000,25244
43,2,Kyoto_Small,train,FaithfulMAPPER,3600,8,129,39,0.3023,0.9612,0.0388,901.1539,450.5769,0.2570,0.9624,276.2121,574.1429,886.2529,0.6417,19.5432,18.3788,845.9460,185.7533,321.2015,40150.1953,0,0,0.0007,19.4175,0.6928,0.3520,251,0.3145,0.6855,0.9690,9.5000,building_up,0.5806,1.2765,1.2159,1.3521,0.9840,0.2500,98.9615,41435
43,3,Kyoto_Small,train,MAPPO,3600,8,131,33,0.2519,0.9237,0.0763,779.4243,779.4243,0.1500,0.9784,241.6538,431.6522,890.5753,0.7371,19.9077,18.1663,796.6793,196.8891,429.2519,53656.4883,0,0,0.0002,18.3346,0.6931,2.1478,238,0.2727,0.7273,0.9783,9.5000,building_up,0.5000,0.9952,1.3062,1.3887,0.9375,0.3333,63.5388,56232
43,4,LosAngeles_Small,train,FaithfulMAPPER,3600,8,114,46,0.4035,0.9386,0.0614,772.7391,257.5797,0.4208,0.9852,196.1053,544.0690,1034.4850,1.0000,23.1768,22.4041,905.2237,220.0127,154.9474,19368.4219,0,0,0.0516,12.5228,0.6930,0.4622,204,0.4299,0.5701,0.9918,12.1967,wave,0.3243,0.5958,1.2659,1.4339,0.9469,0.0000,0.0000,17664
43,5,LosAngeles_Small,train,MAPPO,3600,8,136,62,0.4559,0.9338,0.0662,811.1451,202.7863,0.5227,0.9841,235.2264,515.9565,1145.3925,0.9739,23.9503,22.2404,986.4335,182.8681,118.3015,14787.6836,0,0,-0.0028,9.8732,0.6928,2.2809,256,0.4882,0.5118,1.0003,12.1967,wave,0.3606,0.6525,1.3300,1.2013,0.9338,0.0000,6.1479,16089
43,6,Tokyo_Small,train,FaithfulMAPPER,3600,8,130,52,0.4000,0.9615,0.0385,769.9423,769.9423,0.2311,0.9801,205.4000,548.1622,1193.3053,1.0000,28.8476,26.3215,943.4922,197.6925,106.5385,13317.3076,0,0,0.0029,11.5418,0.6931,0.5899,260,0.4160,0.5840,0.9846,6.5039,ramp_up_down,0.3939,0.7049,1.2388,1.6783,0.9688,0.5000,0.0000,13850
43,7,Tokyo_Small,train,MAPPO,3600,8,130,60,0.4615,0.9692,0.0308,866.4000,866.4000,0.1858,0.9676,238.5472,625.8444,1129.9050,0.9473,28.7240,26.3836,975.4592,202.0401,72.6692,9083.6543,0,0,-0.0658,7.6078,0.6925,2.0902,226,0.4762,0.5238,0.9846,6.5039,ramp_up_down,0.3400,0.6027,1.1955,1.7768,0.9766,0.5000,12.5662,9447
43,8,Kyoto_Small,train,FaithfulMAPPER,3600,8,120,54,0.4500,0.9417,0.0583,755.7037,377.8518,0.3315,0.9851,189.7021,501.5000,962.4565,1.0000,19.8477,18.1261,792.4153,165.8858,62.4333,7804.1665,0,0,-0.0059,9.1534,0.6931,0.4298,233,0.4779,0.5221,0.9921,12.1967,wave,0.3697,0.6832,1.2755,1.2402,0.9496,0.0000,0.0000,7492
43,9,Kyoto_Small,train,MAPPO,3600,8,132,42,0.3182,0.9848,0.0152,806.5238,403.2619,0.2618,0.9949,226.6286,579.1379,1225.9098,1.0000,19.4124,18.2956,820.2226,166.6773,564.0530,70506.6250,0,0,0.0005,13.8095,0.6925,2.6932,253,0.3231,0.6769,0.9848,12.1967,wave,0.3220,0.6232,1.2118,1.4175,0.9923,0.5000,0.0000,74455
