seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
42,10,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,198,156,0.7879,0.8434,0.1566,519.9359,519.9359,0.2524,4.4649,203.6690,305.4420,946.4152,0.9294,26.8595,23.4711,708.5273,50.4080,48.2626,8043.7710,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9341,0.0659,4.4313,883.7547,building_up,0.4088,0.7425,1.2477,1.2793,0.8434,0.0000,14.3860,24,765.0444,0.3657,0.8989,8,0,147640.7656,1.3889,0.4899,0.0000,0.8261,0.4395,6.8851,3.6838,77784.6875,79,1.0572,41335.3242,3.4192,9556
42,11,Tokyo_Small,eval_stress_buildup,MAPPO,3600,6,246,153,0.6220,0.7805,0.2195,609.3660,0.0000,0.1250,4.4723,241.9702,370.7401,1066.1230,0.8812,29.1404,25.6248,846.5921,46.5052,51.0894,8514.9053,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7969,0.2031,4.4578,883.7547,building_up,0.4223,0.8389,1.2395,1.3085,0.7805,0.0000,28.7455,24,764.5803,0.3556,0.8855,11,0,163116.8125,1.2276,0.6870,0.0000,0.7052,0.4992,9.4371,3.7302,77401.5391,69,1.0000,45633.3164,4.1423,12568
42,12,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,55,49,0.8909,0.9636,0.0364,495.7347,99.1469,0.9592,4.6677,224.8333,281.4000,1004.9344,0.8939,28.0722,24.5414,773.3770,360.6060,552.4909,92081.8203,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9245,0.0755,4.7379,1125.4863,wave,0.2611,0.5496,1.2300,1.2159,0.9636,0.0000,23.8464,28,935.4128,0.3573,0.8989,4,1,49241.7891,1.6000,0.2182,0.0000,0.9513,0.5022,0.3057,6.0666,46513.8281,50,1.4828,529925.6250,2.6000,30387
42,13,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,51,46,0.9020,0.9608,0.0392,537.3913,107.4783,0.9747,4.6606,263.6364,294.4773,1127.3406,0.8552,27.4802,23.4517,893.5690,361.4071,615.2745,102545.7500,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9388,0.0612,4.7272,1125.4863,wave,0.3140,0.6482,1.2878,0.9030,0.9608,0.0000,38.1682,28,936.4864,0.3596,0.8536,5,0,51857.6680,1.7843,0.1176,0.0000,0.9178,0.5794,0.2167,4.3038,34366.4844,38,1.9384,593008.3750,2.5490,31379
42,14,Tokyo_Small,eval_over_fleet,MAPPO,3600,6,52,50,0.9615,0.9808,0.0192,521.4000,86.9000,1.0188,4.6635,245.7872,288.3617,1005.1183,0.8179,27.6764,20.6823,809.0831,312.8793,487.0000,81166.6641,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9804,0.0196,4.6988,1125.4863,wave,0.3347,0.6330,1.2958,1.1467,0.9808,0.0000,44.7636,28,936.5492,0.3537,0.8647,5,0,50255.9141,1.7308,0.0577,0.0000,0.9107,0.4702,0.2195,5.4009,54770.2539,41,1.6059,464409.9688,2.4808,25324
42,15,Tokyo_Small,eval_normal_wave,FaithfulMAPPER,3600,6,115,87,0.7565,0.9130,0.0870,527.0920,527.0920,0.2705,4.6506,246.5581,295.5761,1110.5664,0.9009,28.4385,26.3428,842.0399,227.5986,72.6870,12114.4932,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8286,0.1714,4.7125,1125.4863,wave,0.3271,0.6094,1.2138,1.4152,0.9130,0.0000,24.4449,28,939.7656,0.3614,0.8117,4,0,96619.2734,1.5652,0.3652,0.0000,0.7736,0.4914,1.8499,6.6316,97643.8516,85,1.1311,61351.7305,2.5826,8359
42,16,Tokyo_Small,eval_normal_wave,FaithfulMAPPER,3600,6,109,89,0.8165,0.9358,0.0642,521.0449,521.0449,0.1765,4.6470,236.6322,296.1290,1119.3832,0.9461,29.5271,26.9985,878.4750,265.0851,59.9725,9995.4131,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8725,0.1275,4.6490,1125.4863,wave,0.3401,0.6223,1.2385,1.3331,0.9358,0.0000,12.7556,28,939.3594,0.3738,0.7919,4,0,99625.1094,1.3303,0.2294,0.0000,0.8550,0.5673,1.1969,5.5445,99611.6328,69,1.0693,47590.3320,2.2018,6537
42,17,Tokyo_Small,eval_normal_wave,FaithfulMAPPER,3600,6,115,84,0.7304,0.9130,0.0870,541.7143,541.7143,0.2805,4.6491,248.7590,326.0319,1132.5614,0.9106,27.9401,26.6945,898.5249,253.9383,67.2087,11201.4492,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8000,0.2000,4.6904,1125.4863,wave,0.2892,0.5868,1.2847,1.4318,0.9130,0.0000,22.2467,28,939.4033,0.3686,0.7221,5,0,95135.1562,1.4348,0.3043,0.0000,0.7442,0.5420,1.4623,4.6434,72062.8359,66,1.0489,55155.1289,2.3043,7729
42,18,Tokyo_Small,eval_normal_ramp,FaithfulMAPPER,3600,6,105,85,0.8095,0.9619,0.0381,592.6000,0.0000,0.1144,4.3292,277.1310,326.7841,1235.7238,0.8918,29.4667,27.2014,975.3504,239.2602,65.3048,10884.1270,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8416,0.1584,4.3802,618.6302,ramp_up_down,0.3259,0.6153,1.2750,1.5363,0.9619,0.0000,29.9862,24,550.5145,0.2984,0.7047,5,0,105036.5234,1.6857,0.1238,0.0000,0.8256,0.6150,0.8686,3.3164,56412.7969,42,1.0977,55373.4297,2.4476,6857
42,19,Tokyo_Small,eval_normal_ramp,FaithfulMAPPER,3600,6,106,88,0.8302,0.9528,0.0472,526.0795,0.0000,0.1492,4.3279,240.9081,293.3222,1111.9122,0.9231,28.6007,25.3107,793.5716,275.0441,43.3396,7223.2705,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8713,0.1287,4.3651,618.6302,ramp_up_down,0.3021,0.5788,1.2013,0.9559,0.9528,0.0000,18.5256,24,549.8784,0.3079,0.7806,6,0,97848.2812,1.6792,0.2170,0.0000,0.9102,0.5018,0.7158,3.5828,60652.4648,47,1.1010,34275.3125,2.6038,4594
