seed,solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
42,FaithfulCongestionAware,Tokyo_Small,normal_wave,0,3600,6,115,26,0,0.226087,1,1116.12,186.019,990.385,256.346,817.352,0,0,54521.2,0.95125,7,3,0.179487,0.34401,4.64972,0.141241,28,1125.49,0,1,0,0,0,87560,0,761.287,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,normal_wave,1,3600,6,109,31,0,0.284404,1,1172,195.333,1031.55,279.71,821.916,0,0,71547.9,0.972546,7,3,0.145161,0.260073,4.64176,0.150292,28,1125.49,0,1,0,0,0,123444,0,1132.42,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,normal_ramp,0,3600,6,105,31,0,0.295238,1,958.806,159.801,812.129,234.968,1002.67,0,0,75945.1,0.91963,7,4,0.112903,0.206552,4.31879,0.0971577,24,618.63,0,1,0,0,0,89297,0,850.352,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,normal_ramp,1,3600,6,106,33,0,0.311321,1,938.455,156.409,779.727,210.424,773.413,0,0,66567.3,0.969861,7,3,0.166667,0.327777,4.31941,0.103115,24,618.63,0,1,0,0,0,95608,0,901.868,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,stress_shock,0,3600,5,170,41,0,0.241176,1,858.683,171.737,739.049,149.122,622.739,0,0,71250.5,0.9845,10,7,0.0780488,0.142218,4.2022,0.211255,28,513.2,0,1,0,0,0,302888,0,1781.63,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,stress_shock,1,3600,5,165,40,0,0.242424,1,962.575,192.515,799.05,179.325,727.561,0,0,69941.1,0.981056,10,4,0.15,0.285044,4.20844,0.218632,24,513.2,0,1,0,0,0,298772,0,1810.67,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,stress_buildup,0,3600,4,168,22,0,0.130952,1,1061.73,265.432,881.182,244.455,705.214,0,0,47822.3,0.987569,7,4,0.113636,0.203279,4.48981,0.133372,32,883.755,0,1,0,0,0,185427,0,1103.66,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,stress_buildup,1,3600,4,198,34,0,0.171717,1,737.765,184.441,652.029,170.971,519.528,0,0,45332.1,0.989861,11,6,0.147059,0.294118,4.4874,0.133469,24,883.755,0,1,0,0,0,213249,0,1076.96,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,over_fleet,0,3600,60,55,49,0,0.890909,1,408.02,6.80034,189.776,246.633,931.152,0,0,80559.4,0.116329,4,1,0.24426,0.515887,4.64913,0.14064,28,1125.49,0,1,0,0,0,200975,0,3653.89,0,0,0,0,0
42,FaithfulCongestionAware,Tokyo_Small,over_fleet,1,3600,60,51,45,0,0.882353,1,490.111,8.16852,206.889,334.111,1102.08,0,0,80575,0.141722,3,1,0.188194,0.391893,4.64369,0.136887,28,1125.49,0,1,0,0,0,191553,0,3755.75,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,normal_wave,0,3600,6,94,32,0,0.340426,1,903.219,150.536,831.781,204.219,728.434,0,0,60705.8,0.969861,9,2,0.270833,0.480072,4.62132,0.174773,24,631.469,0,1,0,0,0,32939,0,350.351,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,normal_wave,1,3600,6,103,26,0,0.252427,1,1106.88,184.481,1068.5,251.231,659.77,0,0,55759.3,0.951806,10,1,0.423077,0.773067,4.63409,0.155261,24,631.469,0,1,0,0,0,51324,0,498.233,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,normal_ramp,0,3600,6,108,36,0,0.333333,1,874.583,145.764,675.639,219.778,886.991,0,0,78074.2,0.97787,9,3,0.166667,0.30429,4.26428,0.129809,24,347.136,0,1,0,0,0,49530,0,458.546,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,normal_ramp,1,3600,6,113,38,0,0.336283,1,734.711,122.452,624.053,204.605,848.396,0,0,78578.1,0.939583,8,4,0.105263,0.196929,4.28384,0.114135,24,347.136,0,1,0,0,0,48370,0,428,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,stress_shock,0,3600,5,150,46,0,0.306667,1,831.261,166.252,711.935,152.174,568.566,0,0,65604,0.968667,13,5,0.173913,0.310497,4.1395,0.256332,28,288,0,1,0,0,0,130860,0,872.36,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,stress_shock,1,3600,5,179,49,0,0.273743,1,816.265,163.253,683.143,144.878,584.301,0,0,63986.9,0.9785,12,7,0.106122,0.197864,4.1321,0.254019,24,288,0,1,0,0,0,153808,0,859.229,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,stress_buildup,0,3600,4,220,47,0,0.213636,1,777.128,194.282,692.979,124.043,507.358,0,0,57805.7,0.986458,14,10,0.0691489,0.125874,4.45915,0.154625,24,495.862,0,1,0,0,0,251136,0,1141.5,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,stress_buildup,1,3600,4,214,32,0,0.149533,1,914.531,228.633,735.875,188.688,618.652,0,0,49329.9,0.984653,11,5,0.15625,0.279509,4.46542,0.152258,28,495.862,0,1,0,0,0,144325,0,674.388,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,over_fleet,0,3600,60,48,38,0,0.791667,1,492.658,8.21096,229.158,279.368,923.297,0,0,68727.2,0.135509,3,1,0.199248,0.449684,4.62546,0.153505,24,631.469,0,1,0,0,0,111984,0,2332.88,0,0,0,0,0
42,FaithfulCongestionAware,Kyoto_Small,over_fleet,1,3600,60,56,50,0,0.892857,1,488.74,8.14567,154.14,361.22,1160.57,0,0,87361.3,0.142477,3,1,0.23875,0.47833,4.62082,0.155017,32,631.469,0,1,0,0,0,118831,0,2121.88,0,0,0,0,0
