seed,global_episode,city,phase,policy_mode,total_steps,n_agents_max,tasks_appeared,tasks_completed,throughput_rate,accept_rate,refuse_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,bbox_area_km2,convex_hull_km2,mean_pd_hav_m,mean_nn_pickup_m,compute_time_per_task_ms,compute_time_per_decision_us,pairing_violations,capacity_violations,actor_loss,critic_loss,entropy,adv_std,n_experiences,completion_per_accepted,unfinished_accept_rate,mean_congestion_at_decision,n_ghost_active_mean,congestion_profile,agent_completed_gini,agent_completed_std,mean_imp_accepted,mean_imp_refused,accept_rate_high_cong,accept_rate_low_cong,mean_extra_steps_per_task,peak_congestion,mean_overlap_edges,congestion_variance,route_congestion_exposure,max_agent_completed,min_agent_completed,total_fleet_distance_m,mean_agents_offered_per_task,mean_recall_rounds_per_task,mean_candidates_scored_per_task,value_throughput_rate,mean_completion_value,value_loss_to_refusal,mean_bpr_along_route,time_lost_to_congestion_steps,n_traversals_in_jam,marginal_cost_ratio_vs_oracle,mean_allocation_time_us,mean_tam_dijkstra_steps,wallclock_ms
43,10,Tokyo_Small,eval_normal_wave,FaithfulMAPPER,3600,6,105,91,0.8667,1.0000,0.0000,506.5165,253.2582,0.3586,4.6494,263.9663,246.6702,1131.8793,0.8576,28.9712,26.9119,863.0358,240.1928,96.3619,16060.3174,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8667,0.1333,4.6907,1125.4863,wave,0.3142,0.5953,1.1651,0.0000,1.0000,0.0000,37.5904,28,939.4425,0.3688,0.8396,5,0,103001.0156,4.3333,0.0000,4.3333,0.8448,0.4640,0.0000,5.9402,106216.6406,77,1.2440,80026.0547,3.4952,10118
43,11,Tokyo_Small,eval_normal_wave,FaithfulMAPPER,3600,6,120,109,0.9083,1.0000,0.0000,552.4587,0.0000,0.1370,4.6487,278.2451,279.0101,1180.0663,0.8482,29.5703,27.4291,832.1573,211.3590,113.5583,18926.3887,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9083,0.0917,4.7325,1125.4863,wave,0.3060,0.5704,1.2823,0.0000,1.0000,0.0000,42.2318,28,940.3614,0.3653,0.8465,5,1,128627.2266,4.1500,0.0000,4.1500,0.9161,0.5376,0.0000,6.8598,162056.5312,101,1.1365,97472.0391,3.6250,13627
43,12,Tokyo_Small,eval_normal_ramp,FaithfulMAPPER,3600,6,109,87,0.7982,1.0000,0.0000,543.2299,0.0000,0.1440,4.3256,282.0814,273.6559,1240.4508,0.8795,29.3889,27.6252,918.1266,233.3882,100.5688,16761.4688,0,0,0.0000,0.0000,0.0000,0.0000,0,0.7982,0.2018,4.3650,618.6302,ramp_up_down,0.2775,0.5270,1.2747,0.0000,1.0000,0.0000,33.9912,28,550.3233,0.3077,0.7864,4,1,107919.2188,4.3853,0.0000,4.3853,0.8549,0.6219,0.0000,4.4212,81207.6562,52,1.1102,88312.7031,3.6330,10962
43,13,Tokyo_Small,eval_normal_ramp,FaithfulMAPPER,3600,6,92,80,0.8696,1.0000,0.0000,491.3750,491.3750,0.3054,4.3313,225.3333,260.9620,1032.9333,0.9168,27.9160,26.2920,778.4353,220.2843,92.3804,15396.7393,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8696,0.1304,4.3607,618.6302,ramp_up_down,0.3007,0.5875,1.1859,0.0000,1.0000,0.0000,18.7467,24,549.2559,0.3075,0.8754,5,0,82634.6641,4.3261,0.0000,4.3261,0.8386,0.4449,0.0000,3.3379,41945.8086,41,1.0720,79287.1016,3.7826,8499
43,14,Tokyo_Small,eval_stress_shock,FaithfulMAPPER,3600,6,129,117,0.9070,1.0000,0.0000,447.7949,0.0000,0.0537,4.1996,212.6174,239.0744,993.3019,0.9344,26.7263,23.0238,773.1744,79.0503,47.2481,7874.6772,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9070,0.0930,4.2315,513.2000,shock_burst,0.3292,0.5952,1.3420,0.0000,1.0000,0.0000,13.9570,24,438.0905,0.4596,0.8751,7,0,116216.3281,4.3256,0.0000,4.3256,0.9118,0.5213,0.0000,3.2411,59828.7461,63,1.0000,38046.5039,3.3101,6095
43,15,Tokyo_Small,eval_stress_shock,FaithfulMAPPER,3600,6,162,135,0.8333,1.0000,0.0000,493.2148,493.2148,0.2262,4.1806,237.7121,259.3795,992.9404,0.8354,28.6325,26.8232,750.2105,51.4948,61.1975,10199.5889,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8333,0.1667,4.1863,513.2000,shock_burst,0.3053,0.5675,1.2778,0.0000,1.0000,0.0000,39.1241,24,439.3195,0.4696,0.8073,8,0,134046.9531,4.0556,0.0000,4.0556,0.7934,0.4755,0.0000,3.6154,71607.5703,49,1.1231,54375.6484,3.4259,9914
43,16,Tokyo_Small,eval_stress_buildup,FaithfulMAPPER,3600,6,206,174,0.8447,1.0000,0.0000,559.8908,279.9454,0.3409,4.4560,262.2890,293.5618,1170.1687,0.8923,28.9034,26.1683,846.8906,25.8507,83.4369,13906.1484,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8447,0.1553,4.4102,883.7547,building_up,0.2225,0.4080,1.2102,0.0000,1.0000,0.0000,28.2553,36,766.3239,0.3757,0.7570,6,1,203609.3594,4.1019,0.0000,4.1019,0.8227,0.4674,0.0000,3.6097,112809.1094,96,1.0854,75602.8125,3.1650,17188
43,17,Tokyo_Small,eval_stress_buildup,FaithfulMAPPER,3600,6,202,171,0.8465,1.0000,0.0000,503.8070,503.8070,0.1721,4.4607,229.8869,280.2143,1004.1230,0.8736,28.4599,27.0769,822.8199,46.0456,52.9802,8830.0332,1,0,0.0000,0.0000,0.0000,0.0000,0,0.8465,0.1535,4.4545,883.7547,building_up,0.2587,0.4689,1.2270,0.0000,1.0000,0.0000,29.0623,24,766.4747,0.3618,0.7991,7,0,171705.0312,4.3317,0.0000,4.3317,0.8076,0.4753,0.0000,3.9844,127295.6094,103,1.0000,43765.7539,3.3812,10702
43,18,Tokyo_Small,eval_over_fleet,FaithfulMAPPER,3600,6,49,45,0.9184,1.0000,0.0000,501.9333,83.6556,1.0395,4.6695,265.4773,261.1956,1177.7587,0.8873,28.2802,24.9168,922.0922,345.9441,182.6327,30438.7754,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9184,0.0816,4.7596,1125.4863,wave,0.2356,0.5436,1.1909,0.0000,1.0000,0.0000,29.9255,28,935.2397,0.3522,0.7779,3,0,52999.1367,4.1224,0.0000,4.1224,0.9038,0.5241,0.0000,6.8102,47917.7695,41,1.4178,149215.6875,3.2041,8949
43,19,Tokyo_Small,eval_over_fleet,FaithfulMAPPER,3600,6,57,52,0.9123,1.0000,0.0000,464.9615,92.9923,0.9524,4.6692,245.3600,215.2549,1115.8582,0.9096,28.6363,25.4574,782.2531,345.1320,147.0351,24505.8477,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9123,0.0877,4.6865,1125.4863,wave,0.3000,0.6963,1.3733,0.0000,1.0000,0.0000,22.1884,24,935.3666,0.3542,0.8912,6,0,58024.6250,4.2281,0.0000,4.2281,0.9325,0.5581,0.0000,8.6088,67267.6406,47,1.4246,120648.6172,3.6491,8381
43,20,Tokyo_Small,eval_normal_wave,IPPO,3600,6,105,90,0.8571,1.0000,0.0000,492.2667,492.2667,0.2189,4.6477,259.7978,252.4545,1171.0802,0.9015,28.9712,26.9119,863.0358,240.1928,53.5714,8928.5713,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8571,0.1429,4.6921,1125.4863,wave,0.2653,0.4998,1.1651,0.0000,1.0000,0.0000,25.5817,28,939.4350,0.3738,0.8293,4,1,105397.2188,4.1333,0.0000,4.1333,0.8613,0.4783,0.0000,5.2959,83677.3750,87,1.0316,38032.1523,3.4381,5625
43,21,Tokyo_Small,eval_normal_wave,IPPO,3600,6,120,99,0.8250,1.0000,0.0000,495.5252,0.0000,0.0984,4.6504,244.3469,268.0189,1149.0415,0.9405,29.5703,27.4291,832.1573,211.3590,66.0417,11006.9443,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8250,0.1750,4.7343,1125.4863,wave,0.2766,0.5057,1.2823,0.0000,1.0000,0.0000,14.5386,28,939.9139,0.3640,0.7903,5,0,113755.1094,4.1750,0.0000,4.1750,0.8460,0.5466,0.0000,5.2013,112160.6719,84,1.0540,49766.8398,3.4417,7925
43,22,Tokyo_Small,eval_normal_ramp,IPPO,3600,6,109,95,0.8716,1.0000,0.0000,506.1368,506.1368,0.2831,4.3252,281.0107,242.1919,1210.8651,0.8618,29.3889,27.6252,918.1266,233.3882,77.7064,12951.0703,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8716,0.1284,4.3667,618.6302,ramp_up_down,0.3331,0.6489,1.2747,0.0000,1.0000,0.0000,38.8377,28,550.3536,0.3082,0.7715,6,0,115032.1797,4.2752,0.0000,4.2752,0.9267,0.6174,0.0000,3.7227,52979.5234,47,1.1011,65675.3594,3.5505,8470
43,23,Tokyo_Small,eval_normal_ramp,IPPO,3600,6,92,78,0.8478,1.0000,0.0000,465.9872,465.9872,0.2604,4.3319,235.2500,252.7952,1050.0431,0.8927,27.9160,26.2920,778.4353,220.2843,52.3043,8717.3916,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8478,0.1522,4.3602,618.6302,ramp_up_down,0.3182,0.5837,1.1859,0.0000,1.0000,0.0000,25.2414,24,549.1531,0.3075,0.8070,4,0,81903.3594,4.2826,0.0000,4.2826,0.8191,0.4457,0.0000,3.7325,43619.7852,41,1.1432,39344.1094,3.4891,4812
43,24,Tokyo_Small,eval_stress_shock,IPPO,3600,6,129,117,0.9070,1.0000,0.0000,430.8803,0.0000,0.1032,4.1992,214.0000,226.2339,984.6206,0.9202,26.7263,23.0238,773.1744,79.0503,35.2558,5875.9688,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9070,0.0930,4.2349,513.2000,shock_burst,0.3407,0.6361,1.3420,0.0000,1.0000,0.0000,17.0759,24,438.1217,0.4605,0.9033,6,0,115200.6172,4.2791,0.0000,4.2791,0.9024,0.5159,0.0000,3.1262,51471.9922,53,1.0272,27144.7988,3.2713,4548
43,25,Tokyo_Small,eval_stress_shock,IPPO,3600,6,162,142,0.8765,1.0000,0.0000,453.0141,0.0000,0.1634,4.1767,225.6879,239.5430,1008.1904,0.8934,28.6325,26.8232,750.2105,51.4948,44.3704,7395.0615,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8765,0.1235,4.1853,513.2000,shock_burst,0.3221,0.6213,1.2778,0.0000,1.0000,0.0000,24.0499,24,439.3189,0.4724,0.8213,8,0,143163.0312,4.1358,0.0000,4.1358,0.8498,0.4842,0.0000,2.8969,58091.1914,37,1.0000,38295.9922,3.2654,7188
43,26,Tokyo_Small,eval_stress_buildup,IPPO,3600,6,206,182,0.8835,1.0000,0.0000,539.4670,539.4670,0.3056,4.4555,259.9945,280.0323,1141.7007,0.8782,28.9034,26.1683,846.8906,25.8507,84.9272,14154.5303,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8835,0.1165,4.4110,883.7547,building_up,0.2675,0.4838,1.2102,0.0000,1.0000,0.0000,31.6543,36,766.3550,0.3772,0.7502,7,1,207789.5312,4.1408,0.0000,4.1408,0.8329,0.4523,0.0000,4.0027,135875.4688,120,1.0686,75697.6875,3.1893,17495
43,27,Tokyo_Small,eval_stress_buildup,IPPO,3600,6,202,173,0.8564,1.0000,0.0000,501.3815,0.0000,0.1321,4.4604,245.6433,272.9624,1039.8569,0.8466,28.4599,27.0769,822.8199,46.0456,50.9406,8490.0986,0,0,0.0000,0.0000,0.0000,0.0000,0,0.8564,0.1436,4.4555,883.7547,building_up,0.3100,0.5889,1.2270,0.0000,1.0000,0.0000,37.6719,24,766.3275,0.3631,0.7499,10,0,179895.2500,4.4208,0.0000,4.4208,0.8632,0.5021,0.0000,3.7397,105816.6250,99,1.0986,42185.3672,3.3960,10290
43,28,Tokyo_Small,eval_over_fleet,IPPO,3600,6,49,46,0.9388,1.0000,0.0000,519.7174,86.6196,1.0625,4.6697,281.9131,237.8044,1274.7048,0.9043,28.2802,24.9168,922.0922,345.9441,120.8980,20149.6602,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9388,0.0612,4.7591,1125.4863,wave,0.2378,0.5482,1.1909,0.0000,1.0000,0.0000,26.9721,28,935.2058,0.3522,0.7793,4,1,58636.4219,4.1020,0.0000,4.1020,0.9796,0.5557,0.0000,4.7371,40935.7305,39,1.4924,87451.2031,3.1837,5924
43,29,Tokyo_Small,eval_over_fleet,IPPO,3600,6,57,53,0.9298,1.0000,0.0000,432.0566,86.4113,0.9411,4.6691,254.9623,180.6545,1129.6486,0.8861,28.6363,25.4574,782.2531,345.1320,130.2982,21716.3750,0,0,0.0000,0.0000,0.0000,0.0000,0,0.9298,0.0702,4.6867,1125.4863,wave,0.2319,0.4807,1.3733,0.0000,1.0000,0.0000,29.0325,24,935.4305,0.3534,0.9062,3,0,59871.3711,3.9649,0.0000,3.9649,0.9396,0.5518,0.0000,4.9598,49998.1016,41,1.3587,104041.0859,3.4211,7427
43,30,Tokyo_Small,eval_normal_wave,Hybrid,3600,6,105,90,0.8571,1.0000,0.0000,455.7444,455.7444,0.2235,4.6484,239.4889,242.0891,1108.9146,0.9261,28.9712,26.9119,863.0358,240.1928,40.8952,6815.8730,0,0,-0.0251,0.0000,0.0000,0.0000,430,0.8571,0.1429,4.6933,1125.4863,wave,0.3124,0.5774,1.1651,0.0000,1.0000,0.0000,17.7060,28,939.2700,0.3732,0.8364,4,0,99802.3125,4.0952,0.0000,4.0952,0.8310,0.4615,0.0000,6.1772,112982.0703,90,1.4004,25409.4961,3.3714,4294
43,31,Tokyo_Small,eval_normal_wave,Hybrid,3600,6,120,102,0.8500,1.0000,0.0000,503.0882,503.0882,0.1743,4.6505,260.8384,272.3143,1155.6244,0.8861,29.5703,27.4291,832.1573,211.3590,54.2000,9033.3330,0,0,-0.0318,0.0000,0.0000,0.0000,507,0.8500,0.1500,4.7318,1125.4863,wave,0.3036,0.5668,1.2823,0.0000,1.0000,0.0000,29.7135,28,940.1844,0.3621,0.7979,5,0,117873.6875,4.2250,0.0000,4.2250,0.8539,0.5355,0.0000,4.7622,108380.6172,83,1.1324,38817.2578,3.3417,6504
43,32,Tokyo_Small,eval_normal_ramp,Hybrid,3600,6,109,90,0.8257,1.0000,0.0000,515.5667,0.0000,0.1406,4.3240,274.8764,252.7653,1205.0353,0.8768,29.3889,27.6252,918.1266,233.3882,46.5321,7755.3516,0,0,-0.0381,0.0000,0.0000,0.0000,490,0.8257,0.1743,4.3632,618.6302,ramp_up_down,0.3351,0.6601,1.2747,0.0000,1.0000,0.0000,33.8694,28,550.5547,0.3086,0.7851,6,0,108453.1797,4.4954,0.0000,4.4954,0.8560,0.6020,0.0000,3.9101,54882.3203,52,1.0000,35090.1094,3.5413,5072
43,33,Tokyo_Small,eval_normal_ramp,Hybrid,3600,6,92,79,0.8587,1.0000,0.0000,467.1519,467.1519,0.2377,4.3324,241.9241,254.3452,1046.9404,0.8655,27.9160,26.2920,778.4353,220.2843,53.1848,8864.1309,0,0,-0.0136,0.0000,0.0000,0.0000,405,0.8587,0.1413,4.3599,618.6302,ramp_up_down,0.2570,0.5078,1.1859,0.0000,1.0000,0.0000,32.5360,24,549.1714,0.3067,0.7950,4,0,82708.2891,4.4022,0.0000,4.4022,0.8403,0.4515,0.0000,3.0902,37608.3906,28,1.2028,40723.6289,3.4783,4893
43,34,Tokyo_Small,eval_stress_shock,Hybrid,3600,6,129,116,0.8992,1.0000,0.0000,426.3965,0.0000,0.0992,4.1989,213.6724,215.5118,977.8715,0.9153,26.7263,23.0238,773.1744,79.0503,26.7132,4452.1963,0,0,-0.0319,0.0000,0.0000,0.0000,558,0.8992,0.1008,4.2350,513.2000,shock_burst,0.3319,0.6193,1.3420,0.0000,1.0000,0.0000,18.0981,24,437.9700,0.4612,0.8980,6,0,113433.0938,4.3256,0.0000,4.3256,0.8742,0.5041,0.0000,3.8706,78880.7188,67,1.0000,19075.8906,3.1318,3446
43,35,Tokyo_Small,eval_stress_shock,Hybrid,3600,6,162,141,0.8704,1.0000,0.0000,441.0071,441.0071,0.1777,4.1770,225.4681,222.8882,1011.7795,0.8975,28.6325,26.8232,750.2105,51.4948,43.0185,7169.7529,0,0,-0.0304,0.0000,0.0000,0.0000,688,0.8704,0.1296,4.1773,513.2000,shock_burst,0.3188,0.5957,1.2778,0.0000,1.0000,0.0000,23.1122,24,439.3517,0.4731,0.8341,8,0,142660.9062,4.2469,0.0000,4.2469,0.8495,0.4875,0.0000,3.7247,83598.5156,40,1.0140,37032.6250,3.3827,6969
43,36,Tokyo_Small,eval_stress_buildup,Hybrid,3600,6,206,189,0.9175,1.0000,0.0000,565.8677,565.8677,0.1883,4.4545,262.8770,301.6823,1139.8193,0.8672,28.9034,26.1683,846.8906,25.8507,56.4854,9414.2393,0,0,-0.0261,0.0000,0.0000,0.0000,867,0.9175,0.0825,4.4104,883.7547,building_up,0.2728,0.5233,1.2102,0.0000,1.0000,0.0000,34.9131,36,766.9006,0.3750,0.7460,8,1,215425.8594,4.2087,0.0000,4.2087,0.8936,0.4673,0.0000,3.9617,118247.5625,121,1.0541,47733.8594,3.3738,11636
