source,method,city,scenario,episode,n_agents,total_steps,tasks_appeared,tasks_completed,throughput_rate,accept_rate,latency_mean,latency_per_agent,agent_utilisation,mean_congestion,mean_trip_steps,mean_wait_steps,mean_road_pd_m,delivery_route_efficiency,mean_extra_steps_per_task,peak_load,congestion_variance,mean_bpr_along_route,n_traversals_in_jam,route_congestion_exposure,total_fleet_distance_m,agent_completed_gini,agent_completed_std,n_ghost_active_mean,mean_congestion_at_decision,wallclock_ms,compute_time_per_task_ms,compute_time_per_decision_us,capacity_violations,pairing_violations
RL,FaithfulMAPPER,Tokyo_Small,over_fleet,18,6,3600,55,51,0.9273,1.0000,395.4314,79.0863,0.9045,4.6686,215.2353,193.2037,944.5140,0.8777,26.3325,28,0.3564,5.8642,40,0.9340,48170.2109,0.2827,0.5853,1125.4863,4.7382,6607,120.1273,20021.2129,0,0
RL,FaithfulMAPPER,Tokyo_Small,over_fleet,19,6,3600,51,48,0.9412,1.0000,489.2292,81.5382,1.0116,4.6619,253.7917,245.2400,1102.7523,0.8690,33.2412,28,0.3566,4.7386,45,0.8552,52932.1094,0.2773,0.5328,1125.4863,4.7262,5467,107.1961,17866.0137,0,0
RL,IPPO,Tokyo_Small,normal_wave,20,6,3600,115,102,0.8870,1.0000,467.6078,467.6078,0.2606,4.6490,237.4653,247.8878,1056.8483,0.8901,26.0957,28,0.3618,4.6607,91,0.8017,107798.5234,0.3038,0.5825,1125.4863,4.7122,5949,51.7304,8621.7393,0,0
RL,IPPO,Tokyo_Small,normal_wave,21,6,3600,109,98,0.8991,1.0000,498.3673,0.0000,0.0998,4.6460,244.5053,270.2323,1122.8291,0.9184,19.9394,28,0.3765,4.9490,90,0.8105,110037.2500,0.2921,0.5594,1125.4863,4.6480,5169,47.4220,7903.6699,0,0
RL,IPPO,Tokyo_Small,normal_ramp,22,6,3600,105,91,0.8667,1.0000,503.0989,0.0000,0.1575,4.3295,269.4091,228.4737,1267.7694,0.9411,15.8552,24,0.2991,3.4645,57,0.7865,115367.0156,0.2926,0.5321,618.6302,4.3792,6344,60.4190,10069.8408,0,0
RL,IPPO,Tokyo_Small,normal_ramp,23,6,3600,106,90,0.8491,1.0000,497.2333,0.0000,0.1516,4.3281,251.8182,244.7800,1099.9170,0.8736,31.8348,24,0.3072,4.2202,55,0.7954,98992.5312,0.3224,0.5927,618.6302,4.3649,4291,40.4811,6746.8555,0,0
RL,IPPO,Tokyo_Small,shock,24,6,3600,170,148,0.8706,1.0000,532.9662,266.4831,0.3536,4.1577,249.0340,283.6306,1102.9585,0.8858,28.4423,28,0.4841,4.3433,54,0.7627,163237.8594,0.2610,0.4647,513.2000,4.1439,8022,47.1882,7864.7061,0,0
RL,IPPO,Tokyo_Small,shock,25,6,3600,165,149,0.9030,1.0000,587.2014,293.6007,0.3504,4.1647,276.3169,311.0476,1205.9951,0.8729,35.1179,24,0.4912,4.3970,75,0.7299,179693.2656,0.3186,0.5700,513.2000,4.1328,8667,52.5273,8754.5459,0,1
RL,IPPO,Tokyo_Small,buildup,26,6,3600,168,150,0.8929,1.0000,496.2067,496.2067,0.2120,4.4721,242.3810,256.8824,1072.2527,0.8848,27.9304,32,0.3631,4.0319,108,0.7994,160837.9062,0.2975,0.5570,883.7547,4.4432,7273,43.2917,7215.2778,0,0
RL,IPPO,Tokyo_Small,buildup,27,6,3600,198,185,0.9343,1.0000,468.7676,468.7676,0.2858,4.4571,206.6044,257.6467,875.8727,0.8479,31.4299,24,0.3711,4.1639,120,0.9240,162036.4375,0.2732,0.4872,883.7547,4.4245,6422,32.4343,5405.7241,0,1
RL,IPPO,Tokyo_Small,over_fleet,28,6,3600,55,48,0.8727,1.0000,398.1875,79.6375,0.8874,4.6677,213.1489,202.3396,966.3143,0.9067,19.8861,28,0.3589,8.8302,41,0.9481,46383.0859,0.2854,0.6575,1125.4863,4.7398,3806,69.2000,11533.3330,0,0
RL,IPPO,Tokyo_Small,over_fleet,29,6,3600,51,46,0.9020,1.0000,494.1087,82.3514,1.0014,4.6630,253.6522,259.6735,1110.9541,0.8760,31.4613,28,0.3538,3.8618,41,0.8420,51103.8906,0.2319,0.4683,1125.4863,4.7257,5664,111.0588,18509.8047,0,0
RL,Hybrid,Tokyo_Small,normal_wave,30,6,3600,115,100,0.8696,1.0000,464.1200,0.0000,0.1549,4.6494,239.1010,237.2076,1091.1771,0.9127,20.8656,28,0.3591,4.8104,88,0.8385,109117.7109,0.2505,0.4782,1125.4863,4.7109,6004,52.2087,8701.4492,0,0
RL,Hybrid,Tokyo_Small,normal_wave,31,6,3600,109,95,0.8716,1.0000,486.9368,486.9368,0.1691,4.6448,240.0745,266.4456,1122.1150,0.9348,15.6515,28,0.3803,4.0683,68,0.7903,106600.9297,0.3070,0.5969,1125.4863,4.6485,6401,58.7248,9787.4619,0,0
RL,Hybrid,Tokyo_Small,normal_ramp,32,6,3600,105,83,0.7905,1.0000,559.1807,559.1807,0.1861,4.3294,287.4578,278.8369,1252.5231,0.8714,36.9532,24,0.2989,4.7681,68,0.7557,103959.4141,0.3031,0.5604,618.6302,4.3793,4411,42.0095,7001.5874,0,0
RL,Hybrid,Tokyo_Small,normal_ramp,33,6,3600,106,89,0.8396,1.0000,451.1011,451.1011,0.2539,4.3277,242.3409,225.4375,1051.1918,0.8675,32.1026,24,0.3081,4.3816,45,0.8246,93556.0703,0.2641,0.4935,618.6302,4.3653,5223,49.2736,8212.2637,0,0
RL,Hybrid,Tokyo_Small,shock,34,6,3600,170,146,0.8588,1.0000,485.1918,242.5959,0.3541,4.1619,229.9310,271.0196,1021.0117,0.8881,25.7287,28,0.4838,4.3939,70,0.7452,149067.7031,0.2817,0.5089,513.2000,4.1478,7624,44.8471,7474.5098,0,0
RL,Hybrid,Tokyo_Small,shock,35,6,3600,165,149,0.9030,1.0000,562.2148,0.0000,0.1251,4.1704,297.1724,258.5166,1182.8545,0.7961,60.6015,24,0.4856,4.4555,72,0.7685,176245.3281,0.2601,0.4678,513.2000,4.1422,4898,29.6848,4947.4746,0,1
RL,Hybrid,Tokyo_Small,buildup,36,6,3600,168,146,0.8690,1.0000,512.5342,0.0000,0.1331,4.4709,251.1164,276.4277,1047.7107,0.8344,41.5743,32,0.3628,4.7550,108,0.8039,152965.7656,0.3003,0.5614,883.7547,4.4387,5900,35.1190,5853.1748,0,0
RL,Hybrid,Tokyo_Small,buildup,37,6,3600,198,178,0.8990,1.0000,458.6854,229.3427,0.3557,4.4573,205.9435,257.8360,899.1913,0.8732,26.1052,24,0.3715,3.9409,106,0.8782,160056.0469,0.2794,0.4982,883.7547,4.4256,10052,50.7677,8461.2793,0,0
RL,Hybrid,Tokyo_Small,over_fleet,38,6,3600,55,49,0.8909,1.0000,387.1837,77.4367,0.8965,4.6678,222.5000,179.2157,957.3710,0.8606,31.0258,28,0.3590,4.2605,31,0.9624,46911.1797,0.3226,0.7205,1125.4863,4.7400,3361,61.1091,10184.8486,0,0
RL,Hybrid,Tokyo_Small,over_fleet,39,6,3600,51,48,0.9412,1.0000,486.1042,97.2208,0.9964,4.6631,261.1667,230.1600,1127.7599,0.8636,35.6147,28,0.3539,5.2387,33,0.8435,54132.4766,0.2412,0.4814,1125.4863,4.7270,2939,57.6275,9604.5752,0,0
RL,MAPPO,Kyoto_Small,normal_wave,40,6,3600,94,59,0.6277,1.0000,752.2542,188.0636,0.7275,4.6357,238.6596,559.9767,1033.8871,0.8664,31.8822,24,0.3936,5.7370,35,0.8551,60999.3359,0.2720,0.4980,631.4694,4.6002,36558,388.9149,64819.1484,0,0
RL,MAPPO,Kyoto_Small,normal_wave,41,6,3600,103,60,0.5825,1.0000,671.1833,335.5917,0.4643,4.6434,232.8113,451.0851,1052.4125,0.9041,22.3288,24,0.3797,6.2188,54,0.9297,63144.7500,0.2500,0.4452,631.4694,4.7201,39665,385.0971,64182.8477,0,0
RL,MAPPO,Kyoto_Small,normal_ramp,42,6,3600,108,80,0.7407,1.0000,636.4500,212.1500,0.5473,4.2965,281.6056,396.0615,1025.5781,0.7284,76.4900,24,0.3287,2.8970,30,0.8328,82046.2422,0.3539,0.6331,347.1364,4.3302,18270,169.1667,28194.4453,0,0
RL,MAPPO,Kyoto_Small,normal_ramp,43,6,3600,113,85,0.7522,1.0000,722.7177,361.3588,0.4638,4.3053,268.6438,488.2877,1094.9830,0.8152,49.6472,24,0.3096,3.4769,47,0.9114,93073.5625,0.3187,0.5644,347.1364,4.3519,21927,194.0443,32340.7070,0,0
RL,MAPPO,Kyoto_Small,shock,44,6,3600,150,108,0.7200,1.0000,728.8055,364.4028,0.4097,4.1226,258.9247,479.3708,1126.1346,0.8699,33.6978,28,0.5115,2.4254,35,0.8331,121622.5391,0.3592,0.6342,288.0000,4.0868,26523,176.8200,29470.0000,0,2
RL,MAPPO,Kyoto_Small,shock,45,6,3600,179,150,0.8380,1.0000,576.4000,288.2000,0.3674,4.0750,206.0382,336.4959,957.5398,0.9295,14.5302,24,0.5240,3.5628,50,0.9491,143630.9688,0.3596,0.6466,288.0000,4.0658,14702,82.1341,13689.0127,0,0
RL,MAPPO,Kyoto_Small,buildup,46,6,3600,220,181,0.8227,1.0000,629.6630,629.6630,0.2837,4.4126,232.1863,409.0621,1069.9628,0.9216,18.1938,24,0.3886,5.7873,112,0.9335,193663.2500,0.2991,0.5460,495.8625,4.4172,14493,65.8773,10979.5459,0,1
RL,MAPPO,Kyoto_Small,buildup,47,6,3600,214,175,0.8178,1.0000,569.4800,0.0000,0.1599,4.4147,237.2125,332.5844,997.1783,0.8407,37.7768,28,0.3879,4.3794,91,0.9614,174506.2031,0.3692,0.6808,495.8625,4.3952,14023,65.5280,10921.3398,0,2
RL,MAPPO,Kyoto_Small,over_fleet,48,6,3600,48,45,0.9375,1.0000,473.8222,94.7645,0.8618,4.6497,228.1190,256.9546,1021.5184,0.8956,23.8154,24,0.3745,8.6907,42,0.8838,45968.3281,0.3503,0.7015,631.4694,4.7181,22542,469.6250,78270.8359,0,0
RL,MAPPO,Kyoto_Small,over_fleet,49,6,3600,56,50,0.8929,1.0000,524.3800,87.3967,1.0919,4.6510,272.4583,250.0566,1190.0748,0.8736,34.4434,32,0.3747,6.6117,51,0.8264,59503.7383,0.3320,0.6236,631.4694,4.7485,23874,426.3214,71053.5703,0,0
RL,FaithfulMAPPER,Kyoto_Small,normal_wave,50,6,3600,94,86,0.9149,1.0000,386.8023,386.8023,0.2040,4.6264,207.3659,178.0238,989.7852,0.9546,9.4088,24,0.4040,5.3930,57,1.0120,85121.5312,0.3323,0.6494,631.4694,4.5911,5992,63.7447,10624.1133,0,0
RL,FaithfulMAPPER,Kyoto_Small,normal_wave,51,6,3600,103,89,0.8641,1.0000,501.5393,0.0000,0.1336,4.6350,282.0349,238.8202,1168.3320,0.8285,48.3685,24,0.3779,4.2230,79,0.8270,103981.5547,0.3169,0.6529,631.4694,4.7112,4698,45.6117,7601.9419,0,0
RL,FaithfulMAPPER,Kyoto_Small,normal_ramp,52,6,3600,108,95,0.8796,1.0000,476.3789,476.3789,0.1935,4.2904,250.6196,229.0000,1096.7465,0.8752,31.2703,24,0.3251,3.7809,48,0.8465,104190.9141,0.3194,0.6122,347.1364,4.3259,3309,30.6389,5106.4814,0,0
RL,FaithfulMAPPER,Kyoto_Small,normal_ramp,53,6,3600,113,94,0.8319,1.0000,469.0745,0.0000,0.1661,4.3038,239.9667,229.1630,1065.0267,0.8876,26.9613,24,0.3132,4.4099,62,0.8801,100112.5078,0.3087,0.5693,347.1364,4.3550,5698,50.4248,8404.1299,0,0
RL,FaithfulMAPPER,Kyoto_Small,shock,54,6,3600,150,143,0.9533,1.0000,534.0909,534.0909,0.2066,4.0874,247.9635,278.2590,1128.7275,0.9104,22.2180,28,0.5353,3.8014,59,0.8332,161408.0312,0.3294,0.5938,288.0000,4.0469,4537,30.2467,5041.1113,0,0
RL,FaithfulMAPPER,Kyoto_Small,shock,55,6,3600,179,171,0.9553,1.0000,459.1696,229.5848,0.3841,4.0589,235.2606,221.7212,1009.2465,0.8580,33.4113,24,0.5378,2.5781,48,0.8466,172581.1406,0.2961,0.5601,288.0000,4.0472,7445,41.5922,6932.0298,0,0
RL,FaithfulMAPPER,Kyoto_Small,buildup,56,6,3600,220,190,0.8636,1.0000,492.2368,246.1184,0.3364,4.4031,241.8270,247.9946,1067.7332,0.8831,28.2804,24,0.4113,4.0067,111,0.8487,202869.3125,0.2956,0.5289,495.8625,4.4080,13735,62.4318,10405.3027,0,0
RL,FaithfulMAPPER,Kyoto_Small,buildup,57,6,3600,214,189,0.8832,1.0000,565.4338,565.4338,0.2700,4.4088,249.6871,306.3564,1100.0413,0.8811,29.6789,28,0.3937,5.9972,138,0.8521,207907.7969,0.2775,0.4981,495.8625,4.3902,10295,48.1075,8017.9126,0,2
RL,FaithfulMAPPER,Kyoto_Small,over_fleet,58,6,3600,48,44,0.9167,1.0000,486.4091,97.2818,0.9400,4.6531,231.2955,250.6444,1014.6986,0.8774,28.3557,24,0.3654,6.2348,41,0.8773,44646.7383,0.2890,0.5750,631.4694,4.7198,5584,116.3333,19388.8887,0,0
RL,FaithfulMAPPER,Kyoto_Small,over_fleet,59,6,3600,56,53,0.9464,1.0000,529.3962,105.8792,0.9848,4.6530,284.8269,250.5556,1185.5874,0.8325,47.7095,32,0.3688,6.0811,46,0.8173,62836.1328,0.2752,0.5274,631.4694,4.7501,6852,122.3571,20392.8574,0,0
RL,IPPO,Kyoto_Small,normal_wave,60,6,3600,94,82,0.8723,1.0000,409.6829,409.6829,0.2346,4.6241,223.4634,190.9070,1008.4840,0.9026,21.7666,24,0.4124,5.7900,56,0.9518,82695.6875,0.3205,0.6278,631.4694,4.5900,4128,43.9149,7319.1489,0,0
RL,IPPO,Kyoto_Small,normal_wave,61,6,3600,103,91,0.8835,1.0000,469.1319,469.1319,0.2061,4.6395,255.9333,229.2211,1169.8501,0.9142,21.9633,24,0.3711,6.2030,87,0.8023,106456.3594,0.3192,0.6421,631.4694,4.7092,4112,39.9223,6653.7217,0,0
RL,IPPO,Kyoto_Small,normal_ramp,62,6,3600,108,97,0.8981,1.0000,474.4742,474.4742,0.2487,4.2893,243.8333,236.6765,1071.5763,0.8789,29.5181,24,0.3256,2.9029,50,0.8405,103942.8984,0.2903,0.5435,347.1364,4.3258,3124,28.9259,4820.9878,0,0
RL,IPPO,Kyoto_Small,normal_ramp,63,6,3600,113,99,0.8761,1.0000,462.0303,462.0303,0.1682,4.3007,238.9490,239.5922,1066.1111,0.8923,25.7268,24,0.3135,3.8703,50,0.8690,105544.9922,0.3254,0.5932,347.1364,4.3460,6252,55.3274,9221.2393,0,0
RL,IPPO,Kyoto_Small,shock,64,6,3600,150,137,0.9133,1.0000,470.9927,470.9927,0.2121,4.0826,250.6471,219.0069,1122.4541,0.8956,26.1562,28,0.5405,4.5377,44,0.8006,153776.2031,0.3395,0.6020,288.0000,4.0406,3619,24.1267,4021.1111,0,0
RL,IPPO,Kyoto_Small,shock,65,6,3600,179,166,0.9274,1.0000,451.1205,451.1205,0.3272,4.0563,225.6463,214.2036,1017.3116,0.9017,22.1840,24,0.5443,3.6344,59,0.8837,168873.7344,0.2940,0.5314,288.0000,4.0456,4990,27.8771,4646.1826,0,0
RL,IPPO,Kyoto_Small,buildup,66,6,3600,220,196,0.8909,1.0000,500.4082,500.4082,0.2887,4.4016,241.2604,260.0149,1080.7993,0.8960,25.1006,24,0.4059,4.2498,149,0.8281,211836.6562,0.2295,0.4154,495.8625,4.4050,6481,29.4591,4909.8486,0,0
RL,IPPO,Kyoto_Small,buildup,67,6,3600,214,196,0.9159,1.0000,538.9898,538.9898,0.2659,4.4078,263.2258,304.9843,1097.9513,0.8342,43.6355,28,0.3954,3.9906,151,0.7888,215198.4688,0.2730,0.4899,495.8625,4.3919,6498,30.3645,5060.7476,0,3
RL,IPPO,Kyoto_Small,over_fleet,68,6,3600,48,45,0.9375,1.0000,450.5333,112.6333,0.7662,4.6566,223.0000,223.7609,1018.0577,0.9131,19.3885,24,0.3583,10.8378,44,0.9149,45812.5977,0.2867,0.5644,631.4694,4.7193,2616,54.5000,9083.3330,0,0
RL,IPPO,Kyoto_Small,over_fleet,69,6,3600,56,52,0.9286,1.0000,472.4231,94.4846,0.9784,4.6549,272.5882,200.9412,1234.0122,0.9054,25.7858,32,0.3667,5.6013,46,0.8524,64168.6328,0.2801,0.6213,631.4694,4.7517,3016,53.8571,8976.1904,0,0
RL,Hybrid,Kyoto_Small,normal_wave,70,6,3600,94,80,0.8511,1.0000,397.2125,0.0000,0.1110,4.6253,221.6962,190.4091,990.6776,0.8937,23.5607,24,0.4076,4.0777,49,0.9273,79254.2031,0.3383,0.6403,631.4694,4.5881,3706,39.4255,6570.9219,0,0
RL,Hybrid,Kyoto_Small,normal_wave,71,6,3600,103,95,0.9223,1.0000,478.1368,0.0000,0.1147,4.6371,262.7979,224.7959,1165.0677,0.8867,29.7843,24,0.3743,5.0294,90,0.8092,110681.4375,0.2494,0.4715,631.4694,4.7100,2183,21.1942,3532.3625,0,0
RL,Hybrid,Kyoto_Small,normal_ramp,72,6,3600,108,98,0.9074,1.0000,452.1735,452.1735,0.1761,4.2896,232.6837,222.2647,1080.0134,0.9283,16.6810,24,0.3268,4.0534,56,0.8689,105841.3203,0.2992,0.5727,347.1364,4.3292,3624,33.5556,5592.5928,0,0
RL,Hybrid,Kyoto_Small,normal_ramp,73,6,3600,113,94,0.8319,1.0000,459.4043,0.0000,0.1025,4.3029,239.9149,235.9314,1073.7734,0.8951,25.1602,24,0.3145,3.7442,54,0.8381,100934.7031,0.3041,0.6074,347.1364,4.3506,3261,28.8584,4809.7344,0,0
RL,Hybrid,Kyoto_Small,shock,74,6,3600,150,136,0.9067,1.0000,476.0000,476.0000,0.2592,4.0821,247.1259,226.0890,1125.6454,0.9110,21.9969,28,0.5420,3.0399,44,0.8053,153087.7656,0.3105,0.5829,288.0000,4.0456,4677,31.1800,5196.6665,0,0
RL,Hybrid,Kyoto_Small,shock,75,6,3600,179,164,0.9162,1.0000,437.7378,437.7378,0.2069,4.0621,220.6975,211.1190,1031.3395,0.9346,14.4296,24,0.5382,3.0427,47,0.8736,169139.6719,0.2916,0.5432,288.0000,4.0538,4212,23.5307,3921.7876,0,0
RL,Hybrid,Kyoto_Small,buildup,76,6,3600,220,198,0.9000,1.0000,481.5656,481.5656,0.2512,4.4016,243.3418,245.9375,1085.7589,0.8924,26.1901,24,0.4095,5.3100,140,0.8345,214980.2812,0.2129,0.3853,495.8625,4.4061,5425,24.6591,4109.8486,0,0
RL,Hybrid,Kyoto_Small,buildup,77,6,3600,214,194,0.9065,1.0000,505.8505,505.8505,0.2254,4.4101,254.9215,257.6634,1129.9827,0.8865,28.9249,28,0.3959,5.0636,161,0.7938,219216.6406,0.2265,0.4180,495.8625,4.3919,5116,23.9065,3984.4236,0,0
RL,Hybrid,Kyoto_Small,over_fleet,78,6,3600,48,43,0.8958,1.0000,437.7209,109.4302,0.7910,4.6547,226.8837,209.5652,1006.9936,0.8877,25.4850,24,0.3636,8.6868,40,0.8958,43300.7227,0.2473,0.4993,631.4694,4.7203,2599,54.1458,9024.3057,0,0
RL,Hybrid,Kyoto_Small,over_fleet,79,6,3600,56,51,0.9107,1.0000,474.4902,79.0817,1.0496,4.6533,275.6274,202.3148,1192.6721,0.8654,37.0930,32,0.3701,9.3338,51,0.8440,60826.2773,0.2622,0.5525,631.4694,4.7513,2120,37.8571,6309.5239,0,0
RL,MAPPO,LosAngeles_Small,normal_wave,80,6,3600,106,64,0.6038,1.0000,822.5156,205.6289,0.6911,4.6507,265.8596,586.5417,1115.9153,0.8395,42.6766,28,0.3729,6.1111,48,0.9662,71418.5781,0.2492,0.4468,944.3675,4.7329,77694,732.9623,122160.3750,0,0
RL,MAPPO,LosAngeles_Small,normal_wave,81,6,3600,99,59,0.5960,1.0000,729.0508,243.0170,0.5280,4.6521,286.1400,471.2449,1255.4459,0.8775,35.0508,28,0.3732,3.6094,38,0.8618,74071.3047,0.2198,0.3997,944.3675,4.7277,49517,500.1717,83361.9531,0,0
RL,MAPPO,LosAngeles_Small,normal_ramp,82,6,3600,98,60,0.6122,1.0000,793.0333,396.5167,0.4410,4.3358,239.3019,558.7755,1224.2633,1.0000,0.0000,28,0.2995,3.2755,32,0.8045,73455.7969,0.3259,0.5809,519.0942,4.3743,30112,307.2653,51210.8828,0,0
RL,MAPPO,LosAngeles_Small,normal_ramp,83,6,3600,103,67,0.6505,1.0000,996.2985,498.1493,0.4311,4.3250,240.4746,676.6964,1240.8442,1.0000,0.0000,24,0.3097,2.9498,27,0.8039,83136.5625,0.3000,0.5401,519.0942,4.3158,23888,231.9223,38653.7227,0,0
RL,MAPPO,LosAngeles_Small,shock,84,6,3600,161,109,0.6770,1.0000,777.3669,388.6835,0.3487,4.1619,256.4546,502.7912,1075.9529,0.8391,41.2640,24,0.4838,2.9018,30,0.8311,117278.8672,0.3787,0.6853,430.0000,4.1404,26210,162.7950,27132.5059,0,0
RL,MAPPO,LosAngeles_Small,shock,85,6,3600,141,107,0.7589,1.0000,685.4860,342.7430,0.4660,4.1722,268.5843,411.7294,1009.6930,0.7519,66.6457,24,0.4772,2.5913,36,0.8797,108037.1484,0.3573,0.6384,430.0000,4.1541,26292,186.4681,31078.0137,0,1
RL,MAPPO,LosAngeles_Small,buildup,86,6,3600,230,166,0.7217,1.0000,639.5361,639.5361,0.3068,4.4642,223.2897,427.7364,866.2982,0.7759,50.0300,24,0.3553,4.1363,77,0.9347,143805.4844,0.2743,0.5082,741.5442,4.4636,34994,152.1478,25357.9707,0,0
