solver,city,scenario,episode,total_steps,n_agents,tasks_appeared,tasks_completed,tasks_refused,throughput_rate,accept_rate,latency_mean,latency_per_agent,mean_wait_steps,mean_trip_steps,mean_road_pd_m,mean_extra_steps_per_task,delivery_route_efficiency,total_fleet_distance_m,agent_utilisation,agent_completed_max,agent_completed_min,agent_completed_gini,agent_completed_std,mean_congestion,congestion_variance,peak_load,n_ghost_active_mean,mean_congestion_at_decision,mean_bpr_along_route,time_lost_to_congestion,n_traversals_in_jam,route_congestion_exposure,wallclock_ms,n_allocation_calls,compute_time_per_task_ms,compute_time_per_decision_us,n_replans,n_collisions_avoided,capacity_violations,pairing_violations
FaithfulCongestionAware,Tokyo_Small,normal_wave,0,3600,6,81,18,0,0.222222,1,997.278,166.213,868.722,285.444,1022.14,0,0,46124.8,0.920787,8,1,0.355556,0.67128,4.66804,0.128259,28,1125.49,0,5.29996,0,0,0,61446,0,758.469,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_wave,1,3600,6,79,22,0,0.278481,1,1057.5,176.25,995.909,272.409,737.171,0,0,49070.2,0.944537,6,1,0.218182,0.421528,4.66535,0.131943,28,1125.49,0,4.15743,0,0,0,53661,0,679.114,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,0,3600,6,99,36,0,0.363636,1,911.444,151.907,755.25,215.222,815.16,0,0,83083,0.975972,8,4,0.12037,0.215166,4.34466,0.0911823,24,618.63,0,1.96692,0,0,0,135221,0,1365.75,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,normal_ramp,1,3600,6,114,28,0,0.245614,1,1067.79,177.964,1048.96,171.536,667.993,0,0,64387,0.951898,8,2,0.202381,0.384655,4.34663,0.090281,28,618.63,0,2.37728,0,0,0,93044,0,816.088,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,0,3600,5,159,37,0,0.232704,1,963.054,192.611,882.351,176.243,701.466,0,0,58403.8,0.984667,12,4,0.194595,0.358554,4.27143,0.180767,24,513.2,0,3.04843,0,0,0,247902,0,1559.07,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_shock,1,3600,5,183,32,0,0.174863,1,960.562,192.113,815.969,217.062,731.908,0,0,55156.3,0.993111,10,5,0.1375,0.289801,4.27125,0.182062,24,513.2,0,2.02449,0,0,0,225317,0,1231.16,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,0,3600,4,224,37,0,0.165179,1,826.216,206.554,831,135.811,464.925,0,0,51664.6,0.981389,10,7,0.0608108,0.140437,4.51343,0.115077,28,883.755,0,1.5505,0,0,0,435287,0,1943.19,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,stress_buildup,1,3600,4,222,33,0,0.148649,1,1235.39,308.848,1165.58,208.545,659.141,0,0,45068.8,0.986111,14,2,0.295455,0.530952,4.50588,0.115543,28,883.755,0,1.85,0,0,0,372402,0,1677.44,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,0,3600,60,44,34,0,0.772727,1,485.441,8.09069,244.676,308.294,1071.22,0,0,67167.3,0.127384,3,1,0.210784,0.451832,4.66973,0.126565,28,1125.49,0,4.10964,0,0,0,200824,0,4563.95,0,0,0,0,0
FaithfulCongestionAware,Tokyo_Small,over_fleet,1,3600,60,56,47,0,0.839286,1,669.936,11.1656,348.787,402.638,1047.86,0,0,91386.1,0.183356,3,1,0.21742,0.449838,4.66581,0.126236,28,1125.49,0,2.62779,0,0,0,227442,0,4061.27,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_wave,0,3600,6,110,25,0,0.227273,1,1144.48,190.747,986.44,316.8,795.254,0,0,51407.4,0.967824,7,2,0.224,0.419524,4.66258,0.134124,28,631.469,0,3.76274,0,0,0,43357,0,394.1,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_wave,1,3600,6,118,31,0,0.262712,1,1128.03,188.005,895.613,263.742,737.937,0,0,56836.8,0.970046,8,3,0.209677,0.377571,4.65337,0.146323,24,631.469,0,2.94718,0,0,0,77082,0,653.186,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_ramp,0,3600,6,99,29,0,0.292929,1,952.69,158.782,778.034,247.793,910.888,0,0,63324,0.913194,9,2,0.270115,0.498511,4.34302,0.0918384,24,347.136,0,2.55208,0,0,0,41174,0,415.848,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,normal_ramp,1,3600,6,104,42,0,0.403846,1,797.667,132.944,635.286,216.595,876.514,0,0,81704.5,0.976204,10,5,0.134921,0.247436,4.33106,0.102462,28,347.136,0,1.26082,0,0,0,61692,0,593.144,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_shock,0,3600,5,129,38,0,0.294574,1,786.289,157.258,682.368,195.395,675.861,0,0,61311.9,0.9775,9,4,0.115789,0.244043,4.23563,0.201349,24,288,0,2.33362,0,0,0,81649,0,632.891,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_shock,1,3600,5,150,47,0,0.313333,1,808.66,161.732,661.277,173.957,629.429,0,0,63062.3,0.959111,14,6,0.153191,0.282266,4.22634,0.202019,28,288,0,1.36704,0,0,0,102727,0,684.813,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_buildup,0,3600,4,238,41,0,0.172269,1,958.268,239.567,800.268,163.878,593.764,0,0,53533.6,0.986458,12,8,0.0792683,0.144295,4.49391,0.126705,28,495.862,0,2.42635,0,0,0,192953,0,810.702,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,stress_buildup,1,3600,4,244,32,0,0.131148,1,1002.91,250.727,835.969,213.875,616.537,0,0,43802.9,0.990556,12,5,0.171875,0.318689,4.502,0.12954,28,495.862,0,2.43611,0,0,0,183506,0,752.049,0,0,0,0,0
FaithfulCongestionAware,Kyoto_Small,over_fleet,0,3600,60,54,50,0,0.925926,1,584.02,9.73367,243.2,399.22,1032.23,0,0,80079.8,0.15625,3,1,0.17875,0.355528,4.65588,0.126441,24,631.469,0,3.16277,0,0,0,100547,0,1861.8,0,0,0,0,0
